Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
PPP2R3B	Xp22.33 and Yp11.31	7.81	7.15	0.88	0.78	0.66	6.16e-10	6.62e-8	(A) BLACK OR AFRICAN AMERICAN
TMED10P1	8q24.3	5.40	5.96	0.74	0.67	-0.56	6.18e-10	6.62e-8	(B) WHITE
CCDC124	19p13.11	10.11	9.39	0.95	0.82	0.72	6.36e-10	6.76e-8	(A) BLACK OR AFRICAN AMERICAN
KIFC1	6p21.32	9.68	8.84	1.09	1.21	0.84	6.38e-10	6.76e-8	(A) BLACK OR AFRICAN AMERICAN
TOR1AIP1	1q25.2	10.48	10.90	0.55	0.51	-0.42	6.53e-10	6.88e-8	(B) WHITE
DCAF10	9p13.2	10.39	11.05	0.87	0.96	-0.66	7.09e-10	7.43e-8	(B) WHITE
SNHG3	1p35.3	6.32	5.47	1.12	1.00	0.85	7.14e-10	7.43e-8	(A) BLACK OR AFRICAN AMERICAN
ZNF619	3p22.1	5.75	6.48	0.97	0.84	-0.73	7.16e-10	7.43e-8	(B) WHITE
C1ORF159	1p36.33	7.97	7.31	0.88	0.80	0.66	7.30e-10	7.53e-8	(A) BLACK OR AFRICAN AMERICAN
WDR45	Xp11.23	10.14	9.80	0.46	0.40	0.34	7.39e-10	7.54e-8	(A) BLACK OR AFRICAN AMERICAN
RAB27B	18q21.2	6.13	7.38	1.68	1.43	-1.26	7.41e-10	7.54e-8	(B) WHITE
TBRG4	7p13	10.40	9.95	0.59	0.53	0.44	7.41e-10	7.54e-8	(A) BLACK OR AFRICAN AMERICAN
LSM7	19p13.3	9.31	8.59	0.96	0.78	0.72	7.60e-10	7.69e-8	(A) BLACK OR AFRICAN AMERICAN
SLC25A19	17q25.1	8.41	7.81	0.80	0.72	0.60	7.80e-10	7.85e-8	(A) BLACK OR AFRICAN AMERICAN
SERINC1	6q22.31	11.96	12.51	0.74	0.61	-0.55	7.85e-10	7.86e-8	(B) WHITE
POR	7q11.23	11.00	10.47	0.70	0.65	0.53	8.03e-10	8.00e-8	(A) BLACK OR AFRICAN AMERICAN
TMED7	5q22.3	10.78	11.33	0.75	0.59	-0.55	8.18e-10	8.11e-8	(B) WHITE
TREML4	6p21.1	1.19	0.47	0.97	0.70	0.72	8.41e-10	8.30e-8	(A) BLACK OR AFRICAN AMERICAN
LRBA	4q31.3	10.89	11.65	1.02	0.86	-0.76	8.50e-10	8.34e-8	(B) WHITE
RALGAPA2	20p11.23	7.37	8.61	1.67	1.33	-1.24	9.02e-10	8.82e-8	(B) WHITE
POLR2F	22q13.1	9.49	8.82	0.91	0.76	0.68	9.48e-10	9.22e-8	(A) BLACK OR AFRICAN AMERICAN
PAM16	16p13.3	8.05	7.37	0.91	0.81	0.68	9.54e-10	9.24e-8	(A) BLACK OR AFRICAN AMERICAN
SMAD5	5q31.1	10.19	10.62	0.58	0.54	-0.43	9.62e-10	9.26e-8	(B) WHITE
ZNF254	19p12	8.18	8.75	0.77	0.69	-0.57	9.71e-10	9.31e-8	(B) WHITE
ZNF395	8p21.1	10.02	10.54	0.69	0.76	-0.52	9.80e-10	9.35e-8	(B) WHITE
RECQL4	8q24.3	9.24	8.34	1.20	1.16	0.90	1.01e-9	9.57e-8	(A) BLACK OR AFRICAN AMERICAN
CENPA	2p23.3	7.50	6.48	1.34	1.47	1.02	1.01e-9	9.58e-8	(A) BLACK OR AFRICAN AMERICAN
BTBD9	6p21.2	8.82	9.16	0.45	0.51	-0.35	1.02e-9	9.61e-8	(B) WHITE
KIAA0087	7p15.2	0.82	1.49	0.86	1.20	-0.67	1.03e-9	9.62e-8	(B) WHITE
SNHG1	11q12.3	9.79	9.15	0.85	0.87	0.64	1.03e-9	9.62e-8	(A) BLACK OR AFRICAN AMERICAN
RABEP1	17p13.2	10.90	11.63	0.99	0.93	-0.74	1.06e-9	9.84e-8	(B) WHITE
SNHG12	1p35.3	8.03	7.31	0.96	0.94	0.72	1.07e-9	9.87e-8	(A) BLACK OR AFRICAN AMERICAN
APOE	19q13.32	12.46	11.53	1.23	1.31	0.92	1.14e-9	1.05e-7	(A) BLACK OR AFRICAN AMERICAN
REX1BD	19p13.11	8.66	7.78	1.19	0.95	0.88	1.15e-9	1.05e-7	(A) BLACK OR AFRICAN AMERICAN
CDC45	22q11.21	7.86	6.93	1.22	1.44	0.93	1.15e-9	1.05e-7	(A) BLACK OR AFRICAN AMERICAN
SLC35A5	3q13.2	8.89	9.30	0.56	0.48	-0.41	1.16e-9	1.05e-7	(B) WHITE
BBOF1	14q24.3	7.40	8.21	1.10	0.99	-0.82	1.16e-9	1.05e-7	(B) WHITE
