Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
KLKP1	19q13.33	7.39	6.69	1.02	1.08	0.70	1.098e-4	0.0102	(A) BLACK OR AFRICAN AMERICAN
SEC1P	19q13.33	1.78	2.39	0.89	0.87	-0.60	1.146e-4	0.0106	(B) WHITE
THOP1	19p13.3	10.66	10.31	0.50	0.55	0.34	1.152e-4	0.0106	(A) BLACK OR AFRICAN AMERICAN
CCL3L1	17q21.1	4.49	3.38	1.63	1.62	1.11	1.166e-4	0.0107	(A) BLACK OR AFRICAN AMERICAN
LAMC1	1q25.3	11.50	11.90	0.59	0.59	-0.40	1.192e-4	0.0108	(B) WHITE
MCEMP1	19p13.2	0.56	0.98	0.58	0.87	-0.42	1.214e-4	0.0110	(B) WHITE
TUBGCP6	22q13.33	10.34	10.06	0.40	0.54	0.28	1.240e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
MYO1D	17q11.2	11.03	11.28	0.37	0.39	-0.25	1.249e-4	0.0112	(B) WHITE
ZSCAN21	7q22.1	8.03	7.81	0.33	0.33	0.23	1.263e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
RHOA	3p21.31	12.90	13.02	0.16	0.22	-0.11	1.265e-4	0.0112	(B) WHITE
CLYBL	13q32.3	6.75	6.32	0.64	0.61	0.43	1.273e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
SNHG17	20q11.23	8.91	8.48	0.64	0.69	0.43	1.277e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
TTC7B	14q32.11	9.48	9.08	0.57	0.77	0.40	1.280e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
RRP7BP	22q13.2	7.54	7.16	0.51	0.90	0.38	1.280e-4	0.0112	(A) BLACK OR AFRICAN AMERICAN
FAM172A	5q15	8.98	9.28	0.44	0.45	-0.30	1.286e-4	0.0112	(B) WHITE
AGER	6p21.32	5.55	4.88	0.98	1.17	0.67	1.353e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
DCXR	17q25.3	12.45	12.03	0.61	0.78	0.42	1.386e-4	0.0120	(A) BLACK OR AFRICAN AMERICAN
SEC31B	10q24.31	7.34	6.67	0.95	1.40	0.67	1.410e-4	0.0121	(A) BLACK OR AFRICAN AMERICAN
POLN	4p16.3	6.34	5.85	0.73	0.81	0.49	1.420e-4	0.0121	(A) BLACK OR AFRICAN AMERICAN
EPS8L2	11p15.5	10.89	10.61	0.40	0.58	0.28	1.439e-4	0.0122	(A) BLACK OR AFRICAN AMERICAN
DPYSL4	10q26.3	8.22	7.43	1.09	1.70	0.78	1.444e-4	0.0122	(A) BLACK OR AFRICAN AMERICAN
DEFA6	8p23.1	0.03	0.35	0.12	1.32	-0.32	1.446e-4	0.0122	(B) WHITE
ATAD3B	1p36.33	8.45	8.09	0.49	0.86	0.36	1.449e-4	0.0122	(A) BLACK OR AFRICAN AMERICAN
FAM221A	7p15.3	8.04	7.63	0.58	0.87	0.41	1.488e-4	0.0125	(A) BLACK OR AFRICAN AMERICAN
RPL29P2	17p13.1	0.32	0.59	0.39	0.57	-0.27	1.497e-4	0.0125	(B) WHITE
NME7	1q24.2	7.32	7.53	0.32	0.37	-0.22	1.509e-4	0.0125	(B) WHITE
APBB3	5q31.3	8.38	8.04	0.49	0.70	0.34	1.518e-4	0.0125	(A) BLACK OR AFRICAN AMERICAN
ANKRD65	1p36.33	6.70	7.50	1.23	0.87	-0.80	1.525e-4	0.0126	(B) WHITE
FAM86DP	3p12.3	7.34	7.00	0.49	0.67	0.34	1.546e-4	0.0127	(A) BLACK OR AFRICAN AMERICAN
OPHN1	Xq12	9.95	9.50	0.67	0.71	0.45	1.610e-4	0.0131	(A) BLACK OR AFRICAN AMERICAN
NFIC	19p13.3	9.89	10.24	0.53	0.56	-0.35	1.612e-4	0.0131	(B) WHITE
LINC00893	Xq28	6.10	5.35	1.08	1.49	0.75	1.627e-4	0.0132	(A) BLACK OR AFRICAN AMERICAN
MTG2	20q13.33	9.14	8.98	0.22	0.33	0.16	1.651e-4	0.0133	(A) BLACK OR AFRICAN AMERICAN
ZMIZ1-AS1	10q22.3	5.61	5.13	0.73	0.68	0.48	1.656e-4	0.0133	(A) BLACK OR AFRICAN AMERICAN
NSUN5P2	7q11.23	9.19	8.61	0.85	1.19	0.59	1.674e-4	0.0133	(A) BLACK OR AFRICAN AMERICAN
KRTAP5-5	11p15.5	0.01	0.09	0.09	0.27	-0.08	1.680e-4	0.0133	(B) WHITE
GTF2A1L	2p16.3	2.44	3.68	1.88	1.66	-1.23	1.680e-4	0.0133	(B) WHITE
HOXC5	12q13.13	4.98	4.34	0.92	1.31	0.64	1.703e-4	0.0135	(A) BLACK OR AFRICAN AMERICAN
ZNF90	19p12	7.21	6.76	0.67	0.81	0.45	1.716e-4	0.0135	(A) BLACK OR AFRICAN AMERICAN
GSTM3	1p13.3	9.75	9.16	0.90	0.91	0.60	1.724e-4	0.0135	(A) BLACK OR AFRICAN AMERICAN
CASP7	10q25.3	10.22	9.88	0.49	0.63	0.33	1.733e-4	0.0135	(A) BLACK OR AFRICAN AMERICAN
SULT1A3	16p11.2	8.61	8.21	0.58	0.83	0.40	1.742e-4	0.0136	(A) BLACK OR AFRICAN AMERICAN
IRF3	19q13.33	9.92	9.65	0.40	0.53	0.27	1.769e-4	0.0137	(A) BLACK OR AFRICAN AMERICAN
TDGF1	3p21.31	1.19	1.81	0.92	1.11	-0.62	1.771e-4	0.0137	(B) WHITE
WDR45	Xp11.23	10.47	10.26	0.32	0.36	0.21	1.802e-4	0.0139	(A) BLACK OR AFRICAN AMERICAN
FLJ44635	Xq13.1	4.23	4.77	0.78	1.08	-0.54	1.812e-4	0.0139	(B) WHITE
C3ORF62	3p21.31	7.93	7.66	0.41	0.40	0.27	1.859e-4	0.0142	(A) BLACK OR AFRICAN AMERICAN
TRMT1	19p13.13	9.50	9.23	0.40	0.53	0.27	1.861e-4	0.0142	(A) BLACK OR AFRICAN AMERICAN
DDX5	17q23.3	13.69	13.44	0.38	0.40	0.25	1.888e-4	0.0143	(A) BLACK OR AFRICAN AMERICAN
CYP4F29P	21q11.2	3.15	1.96	1.83	1.61	1.19	1.904e-4	0.0144	(A) BLACK OR AFRICAN AMERICAN
KAT2A	17q21.2	10.62	10.29	0.50	0.59	0.33	1.942e-4	0.0146	(A) BLACK OR AFRICAN AMERICAN
RPGRIP1	14q11.2	3.93	3.21	1.10	1.04	0.72	1.965e-4	0.0147	(A) BLACK OR AFRICAN AMERICAN
CLDN15	7q22.1	7.16	6.81	0.52	0.68	0.35	1.970e-4	0.0147	(A) BLACK OR AFRICAN AMERICAN
SLC35C1	11p11.2	9.19	9.44	0.39	0.37	-0.25	1.974e-4	0.0147	(B) WHITE
LINC00244	7q36.3	0.84	1.42	0.86	1.18	-0.59	1.989e-4	0.0147	(B) WHITE
EXOSC6	16q22.1	7.85	8.13	0.43	0.40	-0.28	2.009e-4	0.0148	(B) WHITE
AKAP17A	Xp22.33 and Yp11.2	10.29	10.05	0.36	0.50	0.24	2.018e-4	0.0148	(A) BLACK OR AFRICAN AMERICAN
PRR22	19p13.3	6.16	5.66	0.74	0.93	0.50	2.023e-4	0.0148	(A) BLACK OR AFRICAN AMERICAN
CTNS	17p13.2	8.97	8.68	0.45	0.44	0.29	2.070e-4	0.0151	(A) BLACK OR AFRICAN AMERICAN
RPL23AP7	2q14.1	5.81	6.15	0.52	0.58	-0.34	2.097e-4	0.0152	(B) WHITE
KRTAP2-2	17q21.2	0.01	0.05	0.05	0.17	-0.05	2.148e-4	0.0155	(B) WHITE
EMC1	1p36.13	10.11	10.42	0.48	0.45	-0.31	2.155e-4	0.0155	(B) WHITE
RAB21	12q21.1	9.88	10.03	0.24	0.29	-0.16	2.182e-4	0.0156	(B) WHITE
DISP2	15q15.1	4.40	5.11	1.08	1.21	-0.71	2.186e-4	0.0156	(B) WHITE
SNHG15	7p13	8.50	8.21	0.43	0.59	0.29	2.188e-4	0.0156	(A) BLACK OR AFRICAN AMERICAN
CCNL2	1p36.33	11.14	10.73	0.60	0.94	0.42	2.194e-4	0.0156	(A) BLACK OR AFRICAN AMERICAN
AGA	4q34.3	8.85	9.13	0.43	0.46	-0.28	2.278e-4	0.0161	(B) WHITE
EML2	19q13.32	9.95	9.64	0.47	0.53	0.31	2.296e-4	0.0161	(A) BLACK OR AFRICAN AMERICAN
ORMDL1	2q32.2	9.80	9.59	0.32	0.33	0.21	2.307e-4	0.0161	(A) BLACK OR AFRICAN AMERICAN
C6ORF52	6p24.2	2.59	3.29	1.10	0.89	-0.70	2.326e-4	0.0161	(B) WHITE
PKDREJ	22q13.31	3.04	3.59	0.85	0.73	-0.54	2.329e-4	0.0161	(B) WHITE
RHCE	1p36.11	5.86	5.25	0.93	1.02	0.61	2.330e-4	0.0161	(A) BLACK OR AFRICAN AMERICAN
NWD2	4p14	0.61	1.28	0.95	1.66	-0.68	2.364e-4	0.0163	(B) WHITE
MYO15B	17q25.1	9.73	9.08	0.99	1.27	0.66	2.401e-4	0.0165	(A) BLACK OR AFRICAN AMERICAN
RB1	13q14.2	9.64	9.90	0.40	0.47	-0.26	2.406e-4	0.0165	(B) WHITE
METTL3	14q11.2	10.10	9.89	0.31	0.38	0.21	2.416e-4	0.0165	(A) BLACK OR AFRICAN AMERICAN
NXF1	11q12.3	11.21	10.95	0.40	0.48	0.26	2.422e-4	0.0165	(A) BLACK OR AFRICAN AMERICAN
ANKRD20A8P	2q11.1	3.58	2.93	0.99	1.07	0.64	2.429e-4	0.0165	(A) BLACK OR AFRICAN AMERICAN
HLA-DPB2	6p21.32	2.77	2.06	1.12	1.00	0.71	2.449e-4	0.0166	(A) BLACK OR AFRICAN AMERICAN
USP6NL	10p14	8.65	8.89	0.36	0.40	-0.23	2.488e-4	0.0167	(B) WHITE
TTC12	11q23.2	9.08	8.75	0.53	0.51	0.34	2.490e-4	0.0167	(A) BLACK OR AFRICAN AMERICAN
CCDC130	19p13.13	8.75	8.51	0.35	0.50	0.24	2.490e-4	0.0167	(A) BLACK OR AFRICAN AMERICAN
QRICH2	17q25.1	7.21	6.78	0.64	0.78	0.42	2.502e-4	0.0167	(A) BLACK OR AFRICAN AMERICAN
BRICD5	16p13.3	4.53	4.00	0.77	1.19	0.53	2.507e-4	0.0167	(A) BLACK OR AFRICAN AMERICAN
SLC36A1	5q33.1	10.56	10.05	0.76	1.08	0.51	2.549e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
SIRT5	6p23	8.61	8.44	0.27	0.30	0.17	2.550e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
GAMT	19p13.3	9.98	9.48	0.80	0.71	0.51	2.566e-4	0.0169	(A) BLACK OR AFRICAN AMERICAN
PSCA	8q24.3	7.93	9.42	2.25	2.86	-1.49	2.567e-4	0.0169	(B) WHITE
ARF3	12q13.12	12.26	12.39	0.20	0.24	-0.13	2.644e-4	0.0173	(B) WHITE
WASH7P	1p36.33	10.41	10.00	0.63	0.72	0.41	2.657e-4	0.0173	(A) BLACK OR AFRICAN AMERICAN
SMUG1	12q13.13	9.41	9.15	0.40	0.39	0.26	2.658e-4	0.0173	(A) BLACK OR AFRICAN AMERICAN
CST2	20p11.21	4.05	5.57	2.35	2.57	-1.52	2.708e-4	0.0175	(B) WHITE
TDGF1P3	Xq23	0.26	0.60	0.51	0.67	-0.33	2.714e-4	0.0175	(B) WHITE
ZBTB49	4p16.3	6.84	6.62	0.34	0.39	0.22	2.725e-4	0.0175	(A) BLACK OR AFRICAN AMERICAN
RSRP1	1p36.11	10.13	9.51	0.94	1.23	0.62	2.743e-4	0.0176	(A) BLACK OR AFRICAN AMERICAN
CCNB3	Xp11.22	4.19	3.62	0.90	0.84	0.57	2.755e-4	0.0176	(A) BLACK OR AFRICAN AMERICAN
SLC25A51	9p13.2-p13.1	7.20	7.38	0.28	0.35	-0.18	2.788e-4	0.0177	(B) WHITE
SPRN	10q26.3	7.33	6.96	0.58	0.66	0.38	2.795e-4	0.0177	(A) BLACK OR AFRICAN AMERICAN
LGSN	6q12	0.95	1.62	0.96	1.64	-0.67	2.795e-4	0.0177	(B) WHITE
FGFR4	5q35.2	5.79	5.23	0.86	0.98	0.56	2.822e-4	0.0177	(A) BLACK OR AFRICAN AMERICAN
ST3GAL6	3q12.1	5.92	6.41	0.76	0.85	-0.49	2.830e-4	0.0177	(B) WHITE
ANKZF1	2q35	9.85	9.61	0.36	0.54	0.24	2.833e-4	0.0177	(A) BLACK OR AFRICAN AMERICAN
NCSTN	1q23.2	11.43	11.61	0.27	0.34	-0.18	2.876e-4	0.0179	(B) WHITE
SHD	19p13.3	2.03	0.94	1.77	1.19	1.09	2.934e-4	0.0182	(A) BLACK OR AFRICAN AMERICAN
NT5C3B	17q21.2	9.83	9.63	0.30	0.39	0.20	2.959e-4	0.0183	(A) BLACK OR AFRICAN AMERICAN
HNRNPUL1	19q13.2	12.20	12.37	0.26	0.25	-0.16	2.965e-4	0.0183	(B) WHITE
TNRC6B	22q13.1	9.74	9.98	0.38	0.41	-0.24	2.987e-4	0.0183	(B) WHITE
TUBBP5	9q34.3	6.46	5.52	1.45	1.79	0.94	3.000e-4	0.0184	(A) BLACK OR AFRICAN AMERICAN
SELENOP	5p12	13.08	12.67	0.60	0.93	0.41	3.013e-4	0.0184	(A) BLACK OR AFRICAN AMERICAN
TOP2B	3p24.2	11.85	12.04	0.29	0.37	-0.19	3.025e-4	0.0184	(B) WHITE
A2M-AS1	12p13.31	5.05	5.47	0.68	0.56	-0.42	3.062e-4	0.0185	(B) WHITE
CDC16	13q34	10.44	10.29	0.22	0.27	0.14	3.064e-4	0.0185	(A) BLACK OR AFRICAN AMERICAN
STRC	15q15.3	4.62	4.03	0.91	1.12	0.59	3.072e-4	0.0185	(A) BLACK OR AFRICAN AMERICAN
GLYATL1	11q12.1	10.54	9.77	1.15	1.76	0.78	3.081e-4	0.0185	(A) BLACK OR AFRICAN AMERICAN
TIGD6	5q32	8.67	8.40	0.44	0.41	0.28	3.106e-4	0.0186	(A) BLACK OR AFRICAN AMERICAN
FAM219B	15q24.1-q24.2	10.96	10.81	0.22	0.32	0.15	3.129e-4	0.0187	(A) BLACK OR AFRICAN AMERICAN
DKK4	8p11.21	0.49	1.02	0.66	1.62	-0.52	3.187e-4	0.0190	(B) WHITE
STON1-GTF2A1L	2p16.3	1.62	2.76	1.81	1.90	-1.15	3.231e-4	0.0192	(B) WHITE
TSN	2q14.3	10.24	10.43	0.31	0.28	-0.19	3.234e-4	0.0192	(B) WHITE
LOC441455	9q22.33	2.86	2.32	0.85	0.88	0.53	3.271e-4	0.0193	(A) BLACK OR AFRICAN AMERICAN
ULK4	3p22.1	6.08	5.71	0.59	0.63	0.37	3.289e-4	0.0194	(A) BLACK OR AFRICAN AMERICAN
ABCC4	13q32.1	14.08	13.52	0.86	1.08	0.56	3.334e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
CCDC152	5p12	6.42	5.95	0.73	0.87	0.47	3.337e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
CDK10	16q24.3	9.92	9.54	0.59	0.71	0.38	3.344e-4	0.0195	(A) BLACK OR AFRICAN AMERICAN
UBE2G2	21q22.3	10.69	10.54	0.22	0.30	0.15	3.360e-4	0.0196	(A) BLACK OR AFRICAN AMERICAN
SNX27	1q21.3	9.86	10.04	0.28	0.27	-0.18	3.431e-4	0.0199	(B) WHITE
ZNF513	2p23.3	9.08	8.87	0.33	0.48	0.22	3.495e-4	0.0201	(A) BLACK OR AFRICAN AMERICAN
CLK4	5q35.3	9.06	8.80	0.41	0.54	0.27	3.500e-4	0.0201	(A) BLACK OR AFRICAN AMERICAN
AASS	7q31.32	9.41	9.12	0.45	0.55	0.29	3.541e-4	0.0203	(A) BLACK OR AFRICAN AMERICAN
ILKAP	2q37.3	8.87	8.72	0.22	0.36	0.15	3.562e-4	0.0204	(A) BLACK OR AFRICAN AMERICAN
FAM171B	2q32.1	6.70	7.30	0.93	1.19	-0.60	3.607e-4	0.0206	(B) WHITE
PKP2	12p11.21	8.71	9.07	0.58	0.49	-0.36	3.641e-4	0.0207	(B) WHITE
DIS3L2	2q37.1	9.20	8.98	0.35	0.31	0.21	3.744e-4	0.0212	(A) BLACK OR AFRICAN AMERICAN
SLC24A1	15q22.31	8.13	8.37	0.38	0.36	-0.23	3.792e-4	0.0214	(B) WHITE
CDK17	12q23.1	9.33	9.57	0.36	0.54	-0.24	3.802e-4	0.0214	(B) WHITE
BPI	20q11.23	0.82	1.50	1.10	1.08	-0.68	3.821e-4	0.0214	(B) WHITE
NF2	22q12.2	9.74	9.98	0.39	0.38	-0.24	3.827e-4	0.0214	(B) WHITE
NT5C2	10q24.32-q24.33	11.34	11.13	0.33	0.39	0.21	3.834e-4	0.0214	(A) BLACK OR AFRICAN AMERICAN
MAK	6p24.2	5.27	4.50	1.25	1.25	0.78	3.840e-4	0.0214	(A) BLACK OR AFRICAN AMERICAN
CCDC167	6p21.2	8.58	8.23	0.54	0.71	0.35	3.912e-4	0.0217	(A) BLACK OR AFRICAN AMERICAN
GLIPR2	9p13.3	10.66	10.21	0.70	0.86	0.45	3.957e-4	0.0219	(A) BLACK OR AFRICAN AMERICAN
HDAC9	7p21.1	7.31	8.19	1.40	1.56	-0.88	4.011e-4	0.0221	(B) WHITE
ASCC1	10q22.1	8.32	8.53	0.34	0.41	-0.21	4.016e-4	0.0221	(B) WHITE
MC1R	16q24.3	6.98	6.37	0.99	0.97	0.61	4.060e-4	0.0223	(A) BLACK OR AFRICAN AMERICAN
ASMTL-AS1	Xp22.33 and Yp11.2	6.66	5.91	1.16	1.61	0.75	4.180e-4	0.0229	(A) BLACK OR AFRICAN AMERICAN
C19ORF12	19q12	9.08	8.94	0.22	0.27	0.14	4.217e-4	0.0230	(A) BLACK OR AFRICAN AMERICAN
ATP11B	3q26.33	11.36	11.71	0.57	0.54	-0.35	4.226e-4	0.0230	(B) WHITE
DAG1	3p21.31	11.73	11.92	0.30	0.35	-0.19	4.296e-4	0.0233	(B) WHITE
ABCB10	1q42.13	8.60	8.82	0.36	0.38	-0.22	4.320e-4	0.0233	(B) WHITE
P2RX5	17p13.2	6.49	5.95	0.87	0.97	0.54	4.334e-4	0.0233	(A) BLACK OR AFRICAN AMERICAN
JAKMIP1	4p16.1	6.12	5.17	1.53	1.70	0.95	4.359e-4	0.0234	(A) BLACK OR AFRICAN AMERICAN
CROCC	1p36.13	9.18	8.91	0.41	0.66	0.27	4.360e-4	0.0234	(A) BLACK OR AFRICAN AMERICAN
SCAND2P	15q25.2	8.31	8.14	0.28	0.31	0.18	4.383e-4	0.0234	(A) BLACK OR AFRICAN AMERICAN
HRG	3q27.3	0.01	0.22	0.09	0.92	-0.20	4.409e-4	0.0235	(B) WHITE
LOC100130331	1q43	1.84	2.34	0.81	0.92	-0.50	4.448e-4	0.0236	(B) WHITE
SNAPC2	19p13.2	9.63	9.33	0.49	0.52	0.30	4.457e-4	0.0236	(A) BLACK OR AFRICAN AMERICAN
EXOC3L4	14q32.32	3.56	2.72	1.39	1.10	0.83	4.461e-4	0.0236	(A) BLACK OR AFRICAN AMERICAN
LOC100268168	5q35.1	3.01	2.66	0.56	0.59	0.35	4.522e-4	0.0238	(A) BLACK OR AFRICAN AMERICAN
SLC7A13	8q21.3	2.21	1.36	1.40	1.12	0.84	4.533e-4	0.0238	(A) BLACK OR AFRICAN AMERICAN
LINC00667	18p11.31	9.54	9.34	0.31	0.38	0.20	4.539e-4	0.0238	(A) BLACK OR AFRICAN AMERICAN
SELENOO	22q13.33	9.63	9.31	0.51	0.60	0.32	4.572e-4	0.0239	(A) BLACK OR AFRICAN AMERICAN
CYP4F35P	18p11.21	3.73	2.74	1.63	1.49	0.99	4.573e-4	0.0239	(A) BLACK OR AFRICAN AMERICAN
ABCA5	17q24.3	9.38	9.09	0.48	0.50	0.29	4.593e-4	0.0239	(A) BLACK OR AFRICAN AMERICAN
CMPK1	1p33	12.49	12.70	0.33	0.44	-0.21	4.614e-4	0.0240	(B) WHITE
ASIC3	7q36.1	4.77	4.05	1.16	1.42	0.73	4.630e-4	0.0240	(A) BLACK OR AFRICAN AMERICAN
PIGT	20q13.12	11.24	11.44	0.34	0.40	-0.21	4.696e-4	0.0243	(B) WHITE
TMEM217	6p21.2	3.68	4.33	1.02	1.36	-0.65	4.755e-4	0.0245	(B) WHITE
JMJD6	17q25.1	9.19	8.91	0.46	0.46	0.28	4.819e-4	0.0248	(A) BLACK OR AFRICAN AMERICAN
ARMC12	6p21.31	4.21	3.59	1.03	0.94	0.62	4.856e-4	0.0249	(A) BLACK OR AFRICAN AMERICAN
SLC25A27	6p12.3	8.47	7.94	0.80	1.29	0.53	4.867e-4	0.0249	(A) BLACK OR AFRICAN AMERICAN
GNL3L	Xp11.22	9.13	9.31	0.29	0.36	-0.18	4.938e-4	0.0252	(B) WHITE
FTH1P3	2p23.3	7.43	7.78	0.59	0.46	-0.35	5.008e-4	0.0254	(B) WHITE
PLK5	19p13.3	2.46	1.82	1.06	1.00	0.64	5.011e-4	0.0254	(A) BLACK OR AFRICAN AMERICAN
C22ORF34	22q13.33	1.66	0.99	1.13	0.87	0.67	5.026e-4	0.0254	(A) BLACK OR AFRICAN AMERICAN
SPON2	4p16.3	14.57	13.49	1.72	2.19	1.08	5.140e-4	0.0259	(A) BLACK OR AFRICAN AMERICAN
GABBR1	6p22.1	9.17	8.74	0.66	1.06	0.43	5.238e-4	0.0263	(A) BLACK OR AFRICAN AMERICAN
SMG1P5	16p11.2	6.28	5.83	0.74	0.77	0.45	5.251e-4	0.0263	(A) BLACK OR AFRICAN AMERICAN
RASSF7	11p15.5	10.60	10.18	0.69	0.74	0.42	5.264e-4	0.0263	(A) BLACK OR AFRICAN AMERICAN
LRRIQ3	1p31.1	3.18	2.60	0.95	1.00	0.58	5.267e-4	0.0263	(A) BLACK OR AFRICAN AMERICAN
SERHL	22q13.2	9.51	8.76	1.23	1.23	0.74	5.287e-4	0.0264	(A) BLACK OR AFRICAN AMERICAN
ARMC9	2q37.1	8.05	7.87	0.31	0.36	0.19	5.311e-4	0.0264	(A) BLACK OR AFRICAN AMERICAN
ELOB	16p13.3	11.41	11.13	0.47	0.48	0.28	5.340e-4	0.0264	(A) BLACK OR AFRICAN AMERICAN
ADPRM	17p13.1	8.89	8.52	0.60	0.74	0.37	5.341e-4	0.0264	(A) BLACK OR AFRICAN AMERICAN
LENG8	19q13.42	11.70	11.31	0.62	0.88	0.39	5.373e-4	0.0265	(A) BLACK OR AFRICAN AMERICAN
MAST2	1p34.1	10.87	10.61	0.41	0.49	0.25	5.403e-4	0.0265	(A) BLACK OR AFRICAN AMERICAN
SLC7A5P2	16p12.2	2.16	1.69	0.78	0.85	0.48	5.404e-4	0.0265	(A) BLACK OR AFRICAN AMERICAN
ZNF295-AS1	21q22.3	0.40	0.86	0.75	0.90	-0.46	5.420e-4	0.0265	(B) WHITE
LMBR1	7q36.3	9.93	10.13	0.33	0.40	-0.20	5.431e-4	0.0265	(B) WHITE
PHLDB2	3q13.2	8.81	9.47	1.11	0.96	-0.66	5.451e-4	0.0266	(B) WHITE
FAM149A	4q35.1	7.52	7.99	0.77	0.96	-0.48	5.479e-4	0.0266	(B) WHITE
PPAN	19p13.2	9.23	8.99	0.38	0.51	0.24	5.488e-4	0.0266	(A) BLACK OR AFRICAN AMERICAN
RGPD4	2q12.3	7.69	7.98	0.49	0.42	-0.29	5.508e-4	0.0266	(B) WHITE
STXBP4	17q22	7.26	7.54	0.46	0.57	-0.28	5.508e-4	0.0266	(B) WHITE
GOLPH3L	1q21.3	10.00	10.21	0.35	0.40	-0.21	5.522e-4	0.0266	(B) WHITE
NARS2	11q14.1	8.91	9.18	0.46	0.35	-0.27	5.529e-4	0.0266	(B) WHITE
ZNF839	14q32.31	8.64	8.45	0.31	0.36	0.19	5.565e-4	0.0267	(A) BLACK OR AFRICAN AMERICAN
ZNF446	19q13.43	8.89	8.66	0.37	0.40	0.22	5.590e-4	0.0267	(A) BLACK OR AFRICAN AMERICAN
HSP90B3P	1p22.1	3.51	3.97	0.72	1.10	-0.46	5.603e-4	0.0267	(B) WHITE
DBIL5P	17p13.3	4.08	3.76	0.52	0.59	0.32	5.606e-4	0.0267	(A) BLACK OR AFRICAN AMERICAN
DCST2	1q21.3	4.95	4.34	0.98	1.23	0.61	5.662e-4	0.0269	(A) BLACK OR AFRICAN AMERICAN
PGRMC2	4q28.2	10.51	10.68	0.28	0.34	-0.17	5.701e-4	0.0270	(B) WHITE
ARSB	5q14.1	7.82	8.14	0.54	0.52	-0.32	5.749e-4	0.0271	(B) WHITE
HS2ST1	1p22.3	10.00	10.33	0.52	0.66	-0.32	5.845e-4	0.0275	(B) WHITE
YBEY	21q22.3	8.48	8.19	0.47	0.52	0.29	5.881e-4	0.0276	(A) BLACK OR AFRICAN AMERICAN
WBP11P1	18q12.1	3.15	3.49	0.54	0.72	-0.34	5.922e-4	0.0277	(B) WHITE
CBWD1	9p24.3	9.79	9.40	0.67	0.58	0.39	5.968e-4	0.0279	(A) BLACK OR AFRICAN AMERICAN
E4F1	16p13.3	9.70	9.44	0.43	0.48	0.26	5.979e-4	0.0279	(A) BLACK OR AFRICAN AMERICAN
EIF3CL	16p12.1	13.22	13.45	0.39	0.42	-0.24	5.992e-4	0.0279	(B) WHITE
ZNF276	16q24.3	9.29	8.94	0.57	0.66	0.35	6.035e-4	0.0280	(A) BLACK OR AFRICAN AMERICAN
ZHX3	20q12	9.62	9.86	0.39	0.52	-0.24	6.076e-4	0.0281	(B) WHITE
FAM111A	11q12.1	11.11	10.74	0.62	0.60	0.37	6.100e-4	0.0282	(A) BLACK OR AFRICAN AMERICAN
SPATA6L	9p24.2-p24.1	5.27	4.64	1.04	1.11	0.63	6.145e-4	0.0283	(A) BLACK OR AFRICAN AMERICAN
APLP1	19q13.12	5.46	6.12	1.09	1.13	-0.65	6.163e-4	0.0283	(B) WHITE
CEP95	17q23.3	8.83	8.57	0.41	0.53	0.25	6.205e-4	0.0284	(A) BLACK OR AFRICAN AMERICAN
LOC388955	2p15	8.57	8.35	0.37	0.43	0.22	6.206e-4	0.0284	(A) BLACK OR AFRICAN AMERICAN
EXT2	11p11.2	10.82	11.02	0.34	0.30	-0.20	6.238e-4	0.0284	(B) WHITE
LPGAT1	1q32.3	9.97	10.20	0.34	0.65	-0.23	6.296e-4	0.0286	(B) WHITE
CPNE7	16q24.3	6.74	5.79	1.58	1.73	0.95	6.399e-4	0.0290	(A) BLACK OR AFRICAN AMERICAN
CTAGE11P	13q22.2	3.09	3.41	0.53	0.60	-0.32	6.423e-4	0.0290	(B) WHITE
INE2	Xp22.2	5.39	4.84	0.86	1.35	0.55	6.429e-4	0.0290	(A) BLACK OR AFRICAN AMERICAN
TMEM80	11p15.5	9.37	9.11	0.43	0.46	0.26	6.467e-4	0.0291	(A) BLACK OR AFRICAN AMERICAN
DNASE1L2	16p13.3	4.62	3.96	1.08	1.32	0.66	6.507e-4	0.0292	(A) BLACK OR AFRICAN AMERICAN
GNMT	6p21.1	9.63	8.70	1.55	1.64	0.93	6.527e-4	0.0293	(A) BLACK OR AFRICAN AMERICAN
RBBP4	1p35.1	11.69	11.87	0.31	0.29	-0.18	6.548e-4	0.0293	(B) WHITE
DPH1	17p13.3	10.20	10.02	0.28	0.44	0.18	6.664e-4	0.0297	(A) BLACK OR AFRICAN AMERICAN
METAP2	12q22	10.69	10.86	0.29	0.33	-0.17	6.664e-4	0.0297	(B) WHITE
