Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
SERPINA6	14q32.13	0.35	0.91	0.58	1.62	-0.56	3.115e-5	4.658e-3	(B) WHITE
BTBD16	10q26.13	1.67	0.92	1.03	0.88	0.76	3.130e-5	4.658e-3	(A) BLACK OR AFRICAN AMERICAN
AKAP8L	19p13.12	10.11	9.86	0.32	0.48	0.25	3.314e-5	4.895e-3	(A) BLACK OR AFRICAN AMERICAN
SLC6A11	3p25.3	6.48	5.73	0.94	1.50	0.75	3.403e-5	4.984e-3	(A) BLACK OR AFRICAN AMERICAN
LINC00930	15q26.1	6.15	5.00	1.56	1.46	1.15	3.430e-5	4.984e-3	(A) BLACK OR AFRICAN AMERICAN
GTSE1-DT	22q13.31	3.11	3.73	0.84	0.78	-0.62	3.448e-5	4.984e-3	(B) WHITE
TSPO	22q13.2	11.63	11.22	0.55	0.59	0.41	3.550e-5	5.061e-3	(A) BLACK OR AFRICAN AMERICAN
PILRB	7q22.1	10.39	9.84	0.69	1.13	0.55	3.552e-5	5.061e-3	(A) BLACK OR AFRICAN AMERICAN
BORCS8-MEF2B	19p13.11	6.27	5.94	0.41	0.65	0.33	3.673e-5	5.134e-3	(A) BLACK OR AFRICAN AMERICAN
LINC00115	1p36.33	6.07	5.52	0.73	0.86	0.55	3.679e-5	5.134e-3	(A) BLACK OR AFRICAN AMERICAN
NTN5	19q13.33	4.21	3.49	0.94	1.24	0.72	3.715e-5	5.134e-3	(A) BLACK OR AFRICAN AMERICAN
CABYR	18q11.2	3.69	4.24	0.74	0.80	-0.55	3.738e-5	5.134e-3	(B) WHITE
HSF4	16q22.1	8.68	7.97	0.91	1.38	0.71	3.743e-5	5.134e-3	(A) BLACK OR AFRICAN AMERICAN
LLCFC1	7q34	1.73	0.96	1.07	0.83	0.77	3.757e-5	5.134e-3	(A) BLACK OR AFRICAN AMERICAN
SEC16B	1q25.2	6.51	5.87	0.84	1.11	0.64	3.867e-5	5.246e-3	(A) BLACK OR AFRICAN AMERICAN
CDH13	16q23.3	6.90	7.41	0.69	0.79	-0.51	3.890e-5	5.246e-3	(B) WHITE
LOXHD1	18q21.1	0.23	0.59	0.46	0.68	-0.35	3.969e-5	5.316e-3	(B) WHITE
DEF6	6p21.31	9.37	8.94	0.58	0.69	0.43	4.044e-5	5.347e-3	(A) BLACK OR AFRICAN AMERICAN
TENM1	Xq25	8.97	7.38	2.20	1.94	1.59	4.046e-5	5.347e-3	(A) BLACK OR AFRICAN AMERICAN
PWP2	21q22.3	9.67	9.46	0.29	0.33	0.21	4.093e-5	5.374e-3	(A) BLACK OR AFRICAN AMERICAN
UBE2NL	Xq27.3	1.64	2.18	0.72	0.89	-0.54	4.165e-5	5.433e-3	(B) WHITE
SNHG12	1p35.3	7.57	7.01	0.73	1.10	0.56	4.342e-5	5.604e-3	(A) BLACK OR AFRICAN AMERICAN
OLIG3	6q23.3	0.67	1.44	1.01	1.44	-0.77	4.351e-5	5.604e-3	(B) WHITE
VTI1A	10q25.2	8.28	8.42	0.18	0.26	-0.14	4.440e-5	5.682e-3	(B) WHITE
NR2E1	6q21	0.74	1.46	0.89	1.62	-0.72	4.592e-5	5.839e-3	(B) WHITE
ZBTB41	1q31.3	8.93	9.24	0.43	0.49	-0.31	4.641e-5	5.864e-3	(B) WHITE
SCART1	10q26.3	4.54	3.88	0.87	1.28	0.67	4.717e-5	5.923e-3	(A) BLACK OR AFRICAN AMERICAN
PRSS21	16p13.3	2.32	4.05	2.40	2.20	-1.72	4.793e-5	5.945e-3	(B) WHITE
ADCY10P1	6p21.1	6.30	5.39	1.26	1.36	0.92	4.794e-5	5.945e-3	(A) BLACK OR AFRICAN AMERICAN
YJEFN3	19p13.11	6.94	6.14	1.04	1.69	0.81	4.871e-5	5.953e-3	(A) BLACK OR AFRICAN AMERICAN
SULT1A1	16p11.2	7.97	7.52	0.61	0.76	0.45	4.874e-5	5.953e-3	(A) BLACK OR AFRICAN AMERICAN
