Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
CAPN15	16p13.3	0.91	0.89	0.02	0.02	0.01	2.407e-5	3.707e-3	(A) BLACK OR AFRICAN AMERICAN
GTF3C3	2q33.1	0.94	0.92	0.02	0.06	0.02	2.497e-5	3.807e-3	(A) BLACK OR AFRICAN AMERICAN
RNF39	6p22.1	0.54	0.44	0.13	0.13	0.10	2.568e-5	3.878e-3	(A) BLACK OR AFRICAN AMERICAN
F2RL3	19p13.11	0.87	0.82	0.06	0.12	0.05	2.654e-5	3.969e-3	(A) BLACK OR AFRICAN AMERICAN
SAFB	19p13.3	0.05	0.06	0.01	0.02	-0.01	2.726e-5	4.037e-3	(B) WHITE
RPUSD2	15q15.1	0.03	0.04	0.02	0.02	-0.01	2.890e-5	4.241e-3	(B) WHITE
PRMT1	19q13.33	0.02	0.02	0.01	0.01	-0.00	3.153e-5	4.584e-3	(B) WHITE
SUCLG1	2p11.2	0.06	0.07	0.02	0.02	-0.01	3.269e-5	4.597e-3	(B) WHITE
PHF2	9q22.31	0.36	0.26	0.14	0.13	0.11	3.274e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
PTPN23	3p21.31	0.71	0.62	0.12	0.14	0.09	3.291e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
AMPD3	11p15.4	0.71	0.58	0.17	0.22	0.13	3.309e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
PLPP2	19p13.3	0.61	0.45	0.22	0.26	0.16	3.310e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM26	10q21.2	0.68	0.57	0.15	0.20	0.11	3.495e-5	4.811e-3	(A) BLACK OR AFRICAN AMERICAN
RBP5	12p13.31	0.97	0.95	0.02	0.04	0.01	3.580e-5	4.884e-3	(A) BLACK OR AFRICAN AMERICAN
ASAP3	1p36.12	0.30	0.20	0.15	0.10	0.11	3.979e-5	5.381e-3	(A) BLACK OR AFRICAN AMERICAN
H3F3B	17q25.1	0.41	0.27	0.20	0.17	0.14	4.052e-5	5.433e-3	(A) BLACK OR AFRICAN AMERICAN
SNX7	1p21.3	0.20	0.26	0.07	0.17	-0.06	4.113e-5	5.437e-3	(B) WHITE
TMEM43	3p25.1	0.78	0.70	0.11	0.13	0.08	4.124e-5	5.437e-3	(A) BLACK OR AFRICAN AMERICAN
KYAT3	1p22.2	0.55	0.39	0.22	0.17	0.16	4.300e-5	5.620e-3	(A) BLACK OR AFRICAN AMERICAN
SMIM20	4p15.2	0.09	0.11	0.02	0.03	-0.02	4.392e-5	5.693e-3	(B) WHITE
GTF3C5	9q34.13	0.02	0.02	0.01	0.01	-0.01	4.554e-5	5.693e-3	(B) WHITE
CMC2	16q23.2	0.12	0.16	0.04	0.07	-0.03	4.567e-5	5.693e-3	(B) WHITE
RPL17	18q21.1	0.27	0.35	0.11	0.11	-0.08	4.641e-5	5.693e-3	(B) WHITE
B3GALT2	1q31.2	0.89	0.86	0.04	0.06	0.03	4.650e-5	5.693e-3	(A) BLACK OR AFRICAN AMERICAN
