Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
CD244	1q23.3	0.67	0.68	0.09	0.08	-0.01	0.653	0.842	(B) WHITE
DGKH	13q14.11	0.06	0.05	0.10	0.05	0.01	0.653	0.842	(A) BLACK OR AFRICAN AMERICAN
CCPG1	15q21.3	0.04	0.04	0.01	0.01	-0.00	0.653	0.842	(B) WHITE
GFOD2	16q22.1	0.63	0.64	0.13	0.13	-0.01	0.653	0.842	(B) WHITE
PSAPL1	4p16.1	0.47	0.48	0.12	0.13	-0.01	0.653	0.842	(B) WHITE
C19ORF25	19p13.3	0.03	0.03	0.01	0.01	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
SSUH2	3p25.3	0.91	0.92	0.03	0.04	-0.00	0.654	0.842	(B) WHITE
ZMAT3	3q26.32	0.02	0.02	0.00	0.00	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
SLC25A39	17q21.31	0.48	0.48	0.07	0.07	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
DHPS	19p13.13	0.01	0.01	0.00	0.00	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
HIST4H4	12p12.3	0.58	0.56	0.17	0.14	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
PFKM	12q13.11	0.03	0.03	0.00	0.01	-0.00	0.654	0.842	(B) WHITE
ZNF436	1p36.12	0.02	0.02	0.00	0.00	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
SEC24B	4q25	0.02	0.02	0.00	0.00	-0.00	0.654	0.842	(B) WHITE
TPM3	1q21.3	0.89	0.90	0.06	0.05	-0.00	0.654	0.842	(B) WHITE
POU4F1	13q31.1	0.28	0.29	0.18	0.17	-0.01	0.654	0.842	(B) WHITE
POFUT1	20q11.21	0.02	0.02	0.00	0.00	-0.00	0.654	0.842	(B) WHITE
AGAP1	2q37.2	0.43	0.42	0.17	0.16	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
APOBEC3D	22q13.1	0.63	0.62	0.14	0.11	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
ZBTB7B	1q21.3	0.50	0.48	0.19	0.17	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
SFR1	10q25.1	0.04	0.04	0.01	0.01	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
BTBD2	19p13.3	0.46	0.47	0.07	0.07	-0.01	0.654	0.842	(B) WHITE
DGKB	7p21.2	0.72	0.73	0.15	0.12	-0.01	0.654	0.842	(B) WHITE
NUP58	13q12.13	0.63	0.62	0.13	0.14	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
ANGPTL7	1p36.22	0.88	0.88	0.02	0.02	0.00	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
EGOT	3p26.1	0.86	0.85	0.07	0.08	0.01	0.654	0.842	(A) BLACK OR AFRICAN AMERICAN
GYS1	19q13.33	0.73	0.73	0.07	0.08	0.01	0.655	0.842	(A) BLACK OR AFRICAN AMERICAN
GCNT4	5q13.3	0.92	0.92	0.02	0.03	0.00	0.655	0.842	(A) BLACK OR AFRICAN AMERICAN
TBX2	17q23.2	0.76	0.77	0.13	0.07	-0.01	0.655	0.842	(B) WHITE
RSL24D1	15q21.3	0.04	0.04	0.01	0.01	-0.00	0.655	0.842	(B) WHITE
ADM2	22q13.33	0.45	0.46	0.12	0.11	-0.01	0.655	0.842	(B) WHITE
MKLN1	7q32.3	0.07	0.07	0.02	0.03	0.00	0.655	0.842	(A) BLACK OR AFRICAN AMERICAN
CRISP3	6p12.3	0.83	0.82	0.11	0.11	0.01	0.655	0.842	(A) BLACK OR AFRICAN AMERICAN
UBXN8	8p12	0.03	0.04	0.01	0.01	-0.00	0.656	0.843	(B) WHITE
ZNF569	19q13.12	0.04	0.04	0.01	0.01	0.00	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
R3HCC1	8p21.3	0.06	0.06	0.02	0.02	-0.00	0.656	0.843	(B) WHITE
UBE2Q1	1q21.3	0.60	0.59	0.09	0.08	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
CNTN4	3p26.3-p26.2	0.19	0.18	0.13	0.14	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
EPHA6	3q11.2	0.13	0.14	0.18	0.18	-0.01	0.656	0.843	(B) WHITE
ACPP	3q22.1	0.87	0.87	0.06	0.06	-0.00	0.656	0.843	(B) WHITE
GALNT16	14q24.1	0.52	0.51	0.11	0.09	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
ING3	7q31.31	0.06	0.05	0.01	0.02	0.00	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
TMEM33	4p13	0.05	0.05	0.01	0.02	-0.00	0.656	0.843	(B) WHITE
ARMC7	17q25.1	0.77	0.78	0.09	0.08	-0.01	0.656	0.843	(B) WHITE
EXOC8	1q42.2	0.04	0.04	0.01	0.01	0.00	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
PLAGL2	20q11.21	0.39	0.38	0.12	0.10	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
TRPV6	7q34	0.71	0.72	0.08	0.07	-0.01	0.656	0.843	(B) WHITE
TAF3	10p14	0.92	0.92	0.02	0.02	-0.00	0.656	0.843	(B) WHITE
KLHL35	11q13.4	0.20	0.21	0.09	0.08	-0.01	0.656	0.843	(B) WHITE
GTF2H3	12q24.31	0.36	0.35	0.11	0.08	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
SLC25A22	11p15.5	0.68	0.67	0.16	0.17	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
FMNL1	17q21.31	0.67	0.68	0.07	0.05	-0.01	0.656	0.843	(B) WHITE
NAV1	1q32.1	0.53	0.51	0.15	0.15	0.01	0.656	0.843	(A) BLACK OR AFRICAN AMERICAN
LOC100130987	11q13.2	0.94	0.94	0.02	0.02	-0.00	0.656	0.843	(B) WHITE
OVOL1	11q13.1	0.16	0.17	0.12	0.13	-0.01	0.657	0.843	(B) WHITE
RPN1	3q21.3	0.71	0.72	0.05	0.04	-0.00	0.657	0.843	(B) WHITE
MAP3K2	2q14.3	0.89	0.90	0.05	0.06	-0.00	0.657	0.843	(B) WHITE
ENTHD1	22q13.1	0.91	0.92	0.03	0.03	-0.00	0.657	0.843	(B) WHITE
ORC4	2q23.1	0.04	0.04	0.01	0.02	0.00	0.657	0.843	(A) BLACK OR AFRICAN AMERICAN
ATXN7L3	17q21.31	0.03	0.03	0.00	0.00	-0.00	0.657	0.843	(B) WHITE
RAB27A	15q21.3	0.60	0.59	0.14	0.13	0.01	0.657	0.843	(A) BLACK OR AFRICAN AMERICAN
OPA1	3q29	0.04	0.04	0.01	0.01	0.00	0.657	0.843	(A) BLACK OR AFRICAN AMERICAN
RO60	1q31.2	0.02	0.02	0.00	0.01	0.00	0.657	0.843	(A) BLACK OR AFRICAN AMERICAN
C1QB	1p36.12	0.75	0.75	0.06	0.05	-0.00	0.657	0.843	(B) WHITE
TMEM185B	2q14.2	0.03	0.03	0.00	0.01	-0.00	0.657	0.843	(B) WHITE
STK31	7p15.3	0.88	0.88	0.05	0.06	-0.00	0.658	0.843	(B) WHITE
CCNB2	15q22.2	0.02	0.02	0.00	0.01	0.00	0.658	0.843	(A) BLACK OR AFRICAN AMERICAN
SEC14L5	16p13.3	0.10	0.10	0.04	0.04	0.00	0.658	0.843	(A) BLACK OR AFRICAN AMERICAN
SLC22A23	6p25.2	0.82	0.83	0.10	0.09	-0.01	0.658	0.843	(B) WHITE
HIST1H2BM	6p22.1	0.13	0.13	0.06	0.06	0.00	0.658	0.843	(A) BLACK OR AFRICAN AMERICAN
IVD	15q15.1	0.18	0.19	0.07	0.06	-0.00	0.658	0.844	(B) WHITE
SNHG5	6q14.3	0.02	0.02	0.00	0.01	-0.00	0.658	0.844	(B) WHITE
RABL3	3q13.33	0.05	0.05	0.01	0.01	0.00	0.658	0.844	(A) BLACK OR AFRICAN AMERICAN
SLC25A52	18q12.1	0.88	0.88	0.03	0.04	-0.00	0.658	0.844	(B) WHITE
PSME1	14q12	0.28	0.29	0.07	0.06	-0.01	0.658	0.844	(B) WHITE
DGCR6	22q11.21|22q11	0.04	0.04	0.02	0.02	-0.00	0.658	0.844	(B) WHITE
GOLPH3	5p13.3	0.37	0.38	0.16	0.15	-0.01	0.659	0.844	(B) WHITE
SETD1B	12q24.31	0.02	0.02	0.00	0.00	0.00	0.659	0.844	(A) BLACK OR AFRICAN AMERICAN
FBXL12	19p13.2	0.04	0.04	0.01	0.01	0.00	0.659	0.844	(A) BLACK OR AFRICAN AMERICAN
KNL1	15q15.1	0.04	0.04	0.01	0.02	-0.00	0.659	0.844	(B) WHITE
ANKRD9	14q32.31	0.91	0.91	0.03	0.03	0.00	0.659	0.844	(A) BLACK OR AFRICAN AMERICAN
TMEM62	15q15.2	0.35	0.36	0.17	0.18	-0.01	0.659	0.844	(B) WHITE
PGM2	4p14	0.89	0.89	0.05	0.06	0.00	0.660	0.844	(A) BLACK OR AFRICAN AMERICAN
ATF7	12q13.13	0.14	0.14	0.04	0.05	0.00	0.660	0.845	(A) BLACK OR AFRICAN AMERICAN
ZNF235	19q13.31	0.92	0.92	0.04	0.04	-0.00	0.660	0.845	(B) WHITE
NUCB2	11p15.1	0.13	0.12	0.05	0.05	0.00	0.660	0.845	(A) BLACK OR AFRICAN AMERICAN
NFKB2	10q24.32	0.12	0.12	0.04	0.04	-0.00	0.660	0.845	(B) WHITE
TXNDC17	17p13.1	0.04	0.04	0.01	0.01	0.00	0.660	0.845	(A) BLACK OR AFRICAN AMERICAN
LOC388242	16p11.2	0.06	0.07	0.01	0.05	-0.00	0.660	0.845	(B) WHITE
PIK3R5	17p13.1	0.65	0.66	0.13	0.13	-0.01	0.661	0.845	(B) WHITE
IL11RA	9p13.3	0.51	0.52	0.18	0.17	-0.01	0.661	0.845	(B) WHITE
SETD1A	16p11.2	0.03	0.03	0.01	0.02	-0.00	0.661	0.846	(B) WHITE
EMC3	3p25.3	0.36	0.37	0.16	0.16	-0.01	0.661	0.846	(B) WHITE
SLFN13	17q12	0.24	0.23	0.14	0.14	0.01	0.661	0.846	(A) BLACK OR AFRICAN AMERICAN
C11ORF71	11q23.2	0.03	0.03	0.01	0.01	-0.00	0.661	0.846	(B) WHITE
MARK2	11q13.1	0.24	0.25	0.07	0.08	-0.01	0.661	0.846	(B) WHITE
DYNC1LI1	3p22.3	0.06	0.07	0.02	0.02	-0.00	0.661	0.846	(B) WHITE
THAP2	12q21.1	0.04	0.04	0.01	0.01	0.00	0.661	0.846	(A) BLACK OR AFRICAN AMERICAN
GJC3	7q22.1	0.04	0.05	0.02	0.04	-0.00	0.661	0.846	(B) WHITE
ST3GAL4	11q24.2	0.42	0.41	0.17	0.16	0.01	0.661	0.846	(A) BLACK OR AFRICAN AMERICAN
C3ORF33	3q25.31	0.03	0.03	0.01	0.01	0.00	0.661	0.846	(A) BLACK OR AFRICAN AMERICAN
FOXF2	6p25.3	0.84	0.84	0.07	0.07	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
PTGDS	9q34.3	0.83	0.82	0.04	0.04	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
PTTG2	4p14	0.94	0.94	0.02	0.02	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
FCRL5	1q23.1	0.62	0.63	0.10	0.11	-0.01	0.662	0.846	(B) WHITE
TERF1	8q21.11	0.05	0.05	0.01	0.01	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
ERC1	12p13.33	0.91	0.90	0.03	0.03	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
RABEP2	16p11.2	0.92	0.92	0.02	0.03	0.00	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
GBGT1	9q34.2	0.51	0.50	0.14	0.12	0.01	0.662	0.846	(A) BLACK OR AFRICAN AMERICAN
RAB38	11q14.2	0.55	0.55	0.12	0.14	-0.01	0.662	0.846	(B) WHITE
ADAMTS16	5p15.32	0.97	0.97	0.01	0.01	0.00	0.663	0.847	(A) BLACK OR AFRICAN AMERICAN
CDK5R1	17q11.2	0.67	0.67	0.04	0.05	-0.00	0.663	0.847	(B) WHITE
SLC26A6	3p21.31	0.67	0.67	0.05	0.05	-0.00	0.663	0.847	(B) WHITE
BSG	19p13.3	0.28	0.28	0.14	0.12	0.01	0.663	0.847	(A) BLACK OR AFRICAN AMERICAN
ADAM9	8p11.22	0.02	0.02	0.00	0.00	0.00	0.663	0.847	(A) BLACK OR AFRICAN AMERICAN
METTL2A	17q23.2	0.02	0.02	0.00	0.00	0.00	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
HNRNPA1	12q13.13	0.19	0.20	0.07	0.05	-0.00	0.664	0.847	(B) WHITE
APH1A	1q21.2	0.01	0.01	0.00	0.00	-0.00	0.664	0.847	(B) WHITE
ASAP2	2p25.1|2p24	0.60	0.61	0.22	0.22	-0.02	0.664	0.847	(B) WHITE
ANKRD13B	17q11.2	0.87	0.88	0.05	0.04	-0.00	0.664	0.847	(B) WHITE
PAG1	8q21.13	0.64	0.65	0.17	0.13	-0.01	0.664	0.847	(B) WHITE
FLAD1	1q21.3	0.22	0.22	0.04	0.04	0.00	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
B3GAT2	6q13	0.92	0.91	0.03	0.04	0.00	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
AMD1	6q21	0.77	0.78	0.18	0.14	-0.01	0.664	0.847	(B) WHITE
HIST2H2AA3	1q21.2	0.15	0.14	0.09	0.08	0.01	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
PPP1R9A	7q21.3	0.62	0.62	0.10	0.11	0.01	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
TULP4	6q25.3	0.41	0.40	0.17	0.13	0.01	0.664	0.847	(A) BLACK OR AFRICAN AMERICAN
JAKMIP1	4p16.1	0.75	0.76	0.06	0.06	-0.00	0.664	0.847	(B) WHITE
WDR91	7q33	0.83	0.83	0.06	0.06	-0.00	0.665	0.848	(B) WHITE
COA5	2q11.2	0.82	0.82	0.06	0.07	-0.00	0.665	0.848	(B) WHITE
RBM25	14q24.2	0.08	0.08	0.02	0.04	-0.00	0.665	0.848	(B) WHITE
CREB3	9p13.3	0.02	0.02	0.00	0.01	-0.00	0.665	0.848	(B) WHITE
CYP4X1	1p33|1	0.25	0.24	0.15	0.15	0.01	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
CCDC173	2q31.1	0.11	0.10	0.04	0.04	0.00	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
HIGD2A	5q35.2	0.05	0.05	0.01	0.01	0.00	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
ZNF792	19q13.11	0.03	0.03	0.00	0.01	-0.00	0.665	0.848	(B) WHITE
NDUFAF4	6q16.1	0.20	0.20	0.09	0.08	0.01	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
FADD	11q13.3	0.04	0.04	0.01	0.01	-0.00	0.665	0.848	(B) WHITE
NAA25	12q24.13	0.04	0.04	0.01	0.03	-0.00	0.665	0.848	(B) WHITE
LRRC3B	3p24.1	0.80	0.81	0.14	0.14	-0.01	0.665	0.848	(B) WHITE
ARC	8q24.3	0.03	0.03	0.03	0.04	0.00	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
ALG9	11q23.1	0.06	0.06	0.02	0.02	0.00	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
TMEM102	17p13.1	0.03	0.02	0.04	0.05	0.00	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
MARCH10	17q23.2	0.84	0.84	0.09	0.10	-0.01	0.665	0.848	(B) WHITE
PLEKHA2	8p11.22	0.56	0.55	0.15	0.13	0.01	0.665	0.848	(A) BLACK OR AFRICAN AMERICAN
ICAM4	19p13.2	0.68	0.67	0.09	0.08	0.01	0.666	0.848	(A) BLACK OR AFRICAN AMERICAN
DPRXP4	17q11.2	0.89	0.89	0.02	0.02	0.00	0.666	0.848	(A) BLACK OR AFRICAN AMERICAN
ZNF91	19p12	0.06	0.05	0.03	0.03	0.00	0.666	0.848	(A) BLACK OR AFRICAN AMERICAN
MRPL33	2p23.2	0.04	0.04	0.01	0.01	-0.00	0.666	0.848	(B) WHITE
IGF1	12q23.2	0.77	0.78	0.14	0.12	-0.01	0.666	0.848	(B) WHITE
MFSD2B	2p23.3	0.91	0.91	0.02	0.02	0.00	0.666	0.848	(A) BLACK OR AFRICAN AMERICAN
CCDC114	19q13.33	0.61	0.62	0.12	0.12	-0.01	0.666	0.848	(B) WHITE
DHX40	17q23.1	0.05	0.05	0.01	0.01	-0.00	0.666	0.848	(B) WHITE
VPS36	13q14.3	0.04	0.04	0.01	0.01	-0.00	0.667	0.849	(B) WHITE
FMO1	1q24.3	0.78	0.77	0.05	0.05	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
DMGDH	5q14.1	0.63	0.62	0.16	0.13	0.01	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
STX19	3q11.2	0.91	0.91	0.04	0.05	-0.00	0.667	0.849	(B) WHITE
SERINC1	6q22.31	0.05	0.05	0.01	0.02	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
NOM1	7q36.3	0.98	0.98	0.00	0.00	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
RCN1	11p13	0.04	0.04	0.02	0.01	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
FBL	19q13.2	0.90	0.90	0.02	0.02	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
CHST5	16q23.1	0.89	0.89	0.03	0.02	0.00	0.667	0.849	(A) BLACK OR AFRICAN AMERICAN
PRMT6	1p13.3	0.54	0.53	0.17	0.14	0.01	0.668	0.849	(A) BLACK OR AFRICAN AMERICAN
C16ORF46	16q23.2	0.02	0.02	0.00	0.00	-0.00	0.668	0.849	(B) WHITE
TM7SF2	11q13.1	0.09	0.08	0.07	0.05	0.00	0.668	0.849	(A) BLACK OR AFRICAN AMERICAN
KLK10	19q13.41	0.47	0.46	0.13	0.13	0.01	0.668	0.849	(A) BLACK OR AFRICAN AMERICAN
GGT5	22q11.23	0.70	0.70	0.05	0.05	0.00	0.668	0.849	(A) BLACK OR AFRICAN AMERICAN
PARP4	13q12.12	0.77	0.75	0.23	0.23	0.02	0.668	0.849	(A) BLACK OR AFRICAN AMERICAN
ST6GALNAC1	17q25.1	0.35	0.36	0.19	0.16	-0.01	0.668	0.849	(B) WHITE
RHOG	11p15.4	0.91	0.91	0.02	0.02	-0.00	0.668	0.850	(B) WHITE
ANKS6	9q22.33	0.06	0.06	0.03	0.02	-0.00	0.668	0.850	(B) WHITE
SLC44A3	1p21.3	0.52	0.51	0.21	0.16	0.01	0.669	0.850	(A) BLACK OR AFRICAN AMERICAN
NANOS1	10q26.11	0.04	0.04	0.02	0.04	0.00	0.669	0.850	(A) BLACK OR AFRICAN AMERICAN
SELENOS	15q26.3	0.52	0.53	0.09	0.11	-0.01	0.669	0.850	(B) WHITE
CWH43	4p11	0.69	0.70	0.18	0.14	-0.01	0.669	0.850	(B) WHITE
SOX12	20p13	0.09	0.09	0.02	0.02	-0.00	0.669	0.850	(B) WHITE
AKT1S1	19q13.33	0.03	0.03	0.01	0.01	0.00	0.669	0.850	(A) BLACK OR AFRICAN AMERICAN
ZNF493	19p12	0.07	0.07	0.02	0.03	-0.00	0.670	0.851	(B) WHITE
LHFPL4	3p25.3	0.30	0.32	0.20	0.19	-0.01	0.670	0.851	(B) WHITE
DCBLD1	6q22.1	0.51	0.51	0.11	0.11	0.01	0.670	0.851	(A) BLACK OR AFRICAN AMERICAN
SDF2	17q11.2	0.69	0.70	0.10	0.10	-0.01	0.670	0.851	(B) WHITE
ZNF175	19q13.41	0.09	0.08	0.03	0.04	0.00	0.670	0.851	(A) BLACK OR AFRICAN AMERICAN
RAB1A	2p14	0.74	0.75	0.07	0.07	-0.01	0.670	0.851	(B) WHITE
AP2S1	19q13.32	0.32	0.33	0.12	0.13	-0.01	0.670	0.851	(B) WHITE
PLEKHG4B	5p15.33	0.06	0.06	0.06	0.07	-0.00	0.670	0.851	(B) WHITE
USP21	1q23.3	0.34	0.34	0.08	0.07	-0.01	0.670	0.851	(B) WHITE
SNHG1	11q12.3	0.20	0.20	0.07	0.06	0.00	0.670	0.851	(A) BLACK OR AFRICAN AMERICAN
ZNF415	19q13.42	0.10	0.09	0.08	0.09	0.01	0.670	0.851	(A) BLACK OR AFRICAN AMERICAN
ESF1	20p12.1	0.03	0.03	0.01	0.01	-0.00	0.671	0.851	(B) WHITE
IL1RL1	2q12.1	0.83	0.84	0.10	0.08	-0.01	0.671	0.851	(B) WHITE
PEG10	7q21.3	0.57	0.56	0.13	0.14	0.01	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
APAF1	12q23.1	0.04	0.04	0.01	0.01	0.00	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
FKBP5	6p21.31	0.81	0.82	0.09	0.11	-0.01	0.671	0.851	(B) WHITE
ZC3HC1	7q32.2	0.05	0.06	0.01	0.01	-0.00	0.671	0.851	(B) WHITE
UCK1	9q34.13	0.12	0.12	0.04	0.03	0.00	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
ERH	14q24.1	0.22	0.22	0.12	0.09	0.01	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
GSTM5	1p13.3	0.63	0.62	0.10	0.09	0.01	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
GIMAP4	7q36.1	0.79	0.78	0.10	0.10	0.01	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
MDM4	1q32.1	0.96	0.96	0.01	0.01	0.00	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
MAPK15	-	0.24	0.23	0.07	0.08	0.01	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
STK17B	2q32.3	0.02	0.02	0.00	0.01	0.00	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
CRYBG2	1p36.11	0.89	0.89	0.03	0.03	0.00	0.671	0.851	(A) BLACK OR AFRICAN AMERICAN
FABP5	8q21.13	0.23	0.22	0.11	0.12	0.01	0.672	0.852	(A) BLACK OR AFRICAN AMERICAN
MGC16142		0.90	0.90	0.04	0.04	-0.00	0.672	0.852	(B) WHITE
DEDD2	19q13.2	0.03	0.03	0.00	0.02	-0.00	0.672	0.852	(B) WHITE
IGFALS	16p13.3	0.91	0.90	0.03	0.05	0.00	0.672	0.852	(A) BLACK OR AFRICAN AMERICAN
GBP6	1p22.2	0.85	0.86	0.08	0.07	-0.01	0.672	0.852	(B) WHITE
SUZ12	17q11.2	0.04	0.04	0.01	0.01	0.00	0.672	0.852	(A) BLACK OR AFRICAN AMERICAN
FANK1	10q26.2	0.48	0.49	0.05	0.04	-0.00	0.672	0.852	(B) WHITE
POLR3C	1q21.1	0.04	0.04	0.01	0.01	-0.00	0.673	0.852	(B) WHITE
PLEKHA8	7p14.3	0.25	0.25	0.03	0.03	0.00	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
EMC4	15q14	0.17	0.16	0.05	0.05	0.00	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
SEPTIN10	2q13	0.66	0.66	0.10	0.09	0.01	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
IL18RAP	2q12.1	0.82	0.81	0.10	0.09	0.01	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
HMGA1	6p21.31	0.32	0.31	0.12	0.11	0.01	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
TOMM40L	1q23.3	0.29	0.28	0.15	0.15	0.01	0.673	0.852	(A) BLACK OR AFRICAN AMERICAN
TRIM8	10q24.32	0.43	0.43	0.09	0.08	0.01	0.673	0.853	(A) BLACK OR AFRICAN AMERICAN
CTRL	16q22.1	0.87	0.87	0.03	0.02	0.00	0.673	0.853	(A) BLACK OR AFRICAN AMERICAN
TMEM52B	12p13.2	0.75	0.74	0.11	0.10	0.01	0.673	0.853	(A) BLACK OR AFRICAN AMERICAN
DLGAP3	1p34.3	0.04	0.04	0.02	0.01	0.00	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
KIF21A	12q12	0.87	0.87	0.09	0.04	-0.01	0.674	0.853	(B) WHITE
ARFGAP1	20q13.33	0.22	0.21	0.04	0.04	0.00	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
MVP	16p11.2	0.71	0.70	0.10	0.08	0.01	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
TAT	16q22.2	0.88	0.87	0.05	0.06	0.00	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
ZNF155	19q13.31	0.04	0.04	0.01	0.01	-0.00	0.674	0.853	(B) WHITE
KIF26A	14q32.33	0.13	0.13	0.07	0.08	0.01	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
TNKS	8p23.1	0.03	0.03	0.01	0.01	0.00	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
SPOUT1	9q34.11	0.02	0.02	0.00	0.00	0.00	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
HBQ1	16p13.3	0.06	0.06	0.02	0.02	-0.00	0.674	0.853	(B) WHITE
SLC35F2	11q22.3	0.25	0.26	0.14	0.15	-0.01	0.674	0.853	(B) WHITE
RPL6	12q24.13	0.42	0.41	0.17	0.16	0.01	0.674	0.853	(A) BLACK OR AFRICAN AMERICAN
TNFSF14	19p13.3	0.65	0.64	0.13	0.11	0.01	0.675	0.853	(A) BLACK OR AFRICAN AMERICAN
ZNF445	3p21.31	0.02	0.02	0.00	0.01	0.00	0.675	0.853	(A) BLACK OR AFRICAN AMERICAN
CLCN3	4q33	0.07	0.07	0.03	0.04	0.00	0.675	0.853	(A) BLACK OR AFRICAN AMERICAN
DCLRE1A	10q25.3	0.83	0.82	0.11	0.13	0.01	0.675	0.854	(A) BLACK OR AFRICAN AMERICAN
NME6	3p21.31	0.90	0.90	0.03	0.03	-0.00	0.675	0.854	(B) WHITE
RAC1	7p22.1	0.38	0.37	0.15	0.14	0.01	0.675	0.854	(A) BLACK OR AFRICAN AMERICAN
ZBTB2	6q25.1	0.98	0.98	0.00	0.01	-0.00	0.676	0.854	(B) WHITE
PROZ	13q34	0.81	0.81	0.09	0.10	0.01	0.676	0.854	(A) BLACK OR AFRICAN AMERICAN
PHLDA3	1q32.1	0.39	0.40	0.13	0.15	-0.01	0.676	0.854	(B) WHITE
UBE2MP1	16p11.2	0.42	0.43	0.18	0.17	-0.01	0.676	0.855	(B) WHITE
BTRC	10q24.32	0.24	0.24	0.11	0.09	0.01	0.676	0.855	(A) BLACK OR AFRICAN AMERICAN
MMP7	11q22.2	0.51	0.50	0.19	0.17	0.01	0.676	0.855	(A) BLACK OR AFRICAN AMERICAN
NAA38	17p13.1	0.07	0.07	0.02	0.02	-0.00	0.676	0.855	(B) WHITE
ZNF511	10q26.3	0.43	0.42	0.15	0.14	0.01	0.676	0.855	(A) BLACK OR AFRICAN AMERICAN
LSM10	1p34.3	0.83	0.83	0.06	0.04	-0.00	0.676	0.855	(B) WHITE
MAMDC4	9q34.3	0.85	0.85	0.03	0.03	-0.00	0.676	0.855	(B) WHITE
ZFP82	19q13.12	0.09	0.09	0.02	0.05	-0.00	0.676	0.855	(B) WHITE
IL12RB1	19p13.11	0.69	0.70	0.09	0.09	-0.01	0.677	0.855	(B) WHITE
