Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
SYNC	1p35.1	0.39	0.26	0.21	0.15	0.13	3.153e-6	4.384e-4	(A) BLACK OR AFRICAN AMERICAN
JUND	19p13.11	0.03	0.04	0.01	0.02	-0.01	3.347e-6	4.548e-4	(B) WHITE
SLC39A9	14q24.1	0.07	0.05	0.04	0.03	0.02	3.358e-6	4.548e-4	(A) BLACK OR AFRICAN AMERICAN
FERMT1	20p12.3	0.12	0.21	0.14	0.20	-0.09	3.384e-6	4.548e-4	(B) WHITE
ATP6V1F	7q32.1	0.85	0.87	0.03	0.03	-0.02	3.390e-6	4.548e-4	(B) WHITE
ARL16	17q25.3	0.04	0.05	0.02	0.03	-0.01	3.423e-6	4.552e-4	(B) WHITE
CRACR2B	11p15.5	0.63	0.53	0.16	0.14	0.10	3.535e-6	4.660e-4	(A) BLACK OR AFRICAN AMERICAN
BCL11A	2p16.1	0.43	0.58	0.24	0.24	-0.15	3.589e-6	4.689e-4	(B) WHITE
GTF2IRD2	7q11.23	0.02	0.01	0.00	0.00	0.00	3.636e-6	4.689e-4	(A) BLACK OR AFRICAN AMERICAN
KCTD11	17p13.1	0.87	0.89	0.03	0.03	-0.02	3.649e-6	4.689e-4	(B) WHITE
SCUBE2	11p15.4	0.79	0.69	0.16	0.21	0.10	3.687e-6	4.698e-4	(A) BLACK OR AFRICAN AMERICAN
KCNK5	6p21.2	0.61	0.78	0.28	0.19	-0.17	3.861e-6	4.867e-4	(B) WHITE
FABP7	6q22.31	0.50	0.64	0.22	0.17	-0.13	3.883e-6	4.867e-4	(B) WHITE
RAD50	5q31.1	0.04	0.02	0.03	0.02	0.02	3.964e-6	4.929e-4	(A) BLACK OR AFRICAN AMERICAN
TCF7L2	10q25.2-q25.3	0.47	0.57	0.16	0.13	-0.10	4.044e-6	4.973e-4	(B) WHITE
SNORA8	11q21	0.47	0.64	0.27	0.21	-0.17	4.072e-6	4.973e-4	(B) WHITE
RUBCN	3q29	0.10	0.06	0.06	0.05	0.03	4.126e-6	4.973e-4	(A) BLACK OR AFRICAN AMERICAN
NAGK	2p13.3	0.40	0.54	0.23	0.22	-0.14	4.130e-6	4.973e-4	(B) WHITE
CEP112	17q24.1	0.53	0.64	0.17	0.16	-0.11	4.176e-6	4.989e-4	(B) WHITE
MEAK7	16q24.1	0.72	0.81	0.15	0.10	-0.09	4.336e-6	5.140e-4	(B) WHITE
IL21R	16p12.1	0.45	0.57	0.19	0.19	-0.12	4.461e-6	5.220e-4	(B) WHITE
COX7A1	19q13.12	0.84	0.78	0.10	0.18	0.07	4.525e-6	5.220e-4	(A) BLACK OR AFRICAN AMERICAN
USP5	12p13.31	0.33	0.40	0.11	0.13	-0.07	4.542e-6	5.220e-4	(B) WHITE
KCNN2	5q22.3	0.09	0.15	0.08	0.16	-0.06	4.563e-6	5.220e-4	(B) WHITE
SLC44A4	6p21.33	0.70	0.60	0.17	0.17	0.10	4.585e-6	5.220e-4	(A) BLACK OR AFRICAN AMERICAN
VAMP2	17p13.1	0.91	0.93	0.02	0.02	-0.01	4.608e-6	5.220e-4	(B) WHITE
DNPEP	2q35	0.83	0.84	0.03	0.03	-0.02	4.649e-6	5.227e-4	(B) WHITE
ST6GALNAC5	1p31.1	0.27	0.41	0.22	0.23	-0.14	4.815e-6	5.349e-4	(B) WHITE
NELFA	4p16.3	0.88	0.90	0.03	0.02	-0.02	4.827e-6	5.349e-4	(B) WHITE
THOP1	19p13.3	0.91	0.93	0.02	0.02	-0.01	4.871e-6	5.353e-4	(B) WHITE
