Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
PHF2	9q22.31	0.74	0.76	0.17	0.14	-0.02	0.412	0.590	(B) WHITE
PRB3	12p13.2	0.75	0.74	0.15	0.14	0.02	0.412	0.590	(A) BLACK OR AFRICAN AMERICAN
ABHD14A	3p21.2	0.02	0.02	0.00	0.01	-0.00	0.412	0.590	(B) WHITE
SRP9	1q42.12	0.19	0.18	0.13	0.11	0.01	0.412	0.590	(A) BLACK OR AFRICAN AMERICAN
COQ8B	19q13.2	0.06	0.06	0.02	0.02	-0.00	0.412	0.590	(B) WHITE
EEF1AKMT1	13q12.11	0.07	0.07	0.02	0.04	-0.00	0.412	0.590	(B) WHITE
FAM217B	20q13.33	0.02	0.02	0.00	0.04	-0.00	0.412	0.590	(B) WHITE
NOL8	9q22.31	0.11	0.11	0.03	0.04	0.00	0.412	0.590	(A) BLACK OR AFRICAN AMERICAN
PAX3	2q36.1	0.37	0.39	0.23	0.23	-0.02	0.413	0.590	(B) WHITE
DERL2	17p13.2	0.07	0.07	0.02	0.02	0.00	0.413	0.590	(A) BLACK OR AFRICAN AMERICAN
MRPL50	9q31.1	0.02	0.02	0.01	0.01	0.00	0.413	0.590	(A) BLACK OR AFRICAN AMERICAN
VMP1	17q23.1	0.12	0.12	0.05	0.08	-0.01	0.413	0.590	(B) WHITE
SLC25A21	14q13.3	0.10	0.10	0.07	0.09	0.01	0.413	0.590	(A) BLACK OR AFRICAN AMERICAN
KLHL8	4q22.1	0.03	0.03	0.01	0.01	0.00	0.413	0.591	(A) BLACK OR AFRICAN AMERICAN
TNS1	2q35	0.78	0.77	0.08	0.09	0.01	0.413	0.591	(A) BLACK OR AFRICAN AMERICAN
FCHO1	19p13.11	0.53	0.55	0.20	0.20	-0.02	0.413	0.591	(B) WHITE
EBAG9	8q23.2	0.02	0.02	0.00	0.01	0.00	0.413	0.591	(A) BLACK OR AFRICAN AMERICAN
THOC1	18p11.32	0.02	0.03	0.01	0.02	-0.00	0.413	0.591	(B) WHITE
SOX18	20q13.33	0.72	0.73	0.11	0.10	-0.01	0.413	0.591	(B) WHITE
TMEM205	19p13.2	0.25	0.23	0.11	0.11	0.01	0.413	0.591	(A) BLACK OR AFRICAN AMERICAN
ASIC1	12q13.12	0.07	0.07	0.04	0.04	0.00	0.414	0.591	(A) BLACK OR AFRICAN AMERICAN
LLPH	12q14.3	0.01	0.01	0.00	0.02	-0.00	0.414	0.591	(B) WHITE
CXCR6	3p21.31	0.73	0.75	0.17	0.16	-0.02	0.414	0.592	(B) WHITE
APPL1	3p14.3	0.04	0.03	0.01	0.02	0.00	0.414	0.592	(A) BLACK OR AFRICAN AMERICAN
UPF2	10p14	0.02	0.01	0.04	0.02	0.00	0.414	0.592	(A) BLACK OR AFRICAN AMERICAN
BAGE2	21p11.2	0.55	0.56	0.12	0.12	-0.01	0.414	0.592	(B) WHITE
RASIP1	19q13.33	0.90	0.91	0.10	0.09	-0.01	0.415	0.592	(B) WHITE
SLC35E1	19p13.11	0.02	0.02	0.00	0.01	0.00	0.415	0.592	(A) BLACK OR AFRICAN AMERICAN
HIST1H4B	6p22.2	0.10	0.08	0.13	0.10	0.01	0.415	0.593	(A) BLACK OR AFRICAN AMERICAN
ERO1B	1q42.3	0.47	0.45	0.17	0.18	0.02	0.415	0.593	(A) BLACK OR AFRICAN AMERICAN
PFDN6	6p21.32	0.16	0.16	0.07	0.07	-0.01	0.415	0.593	(B) WHITE
PTCH2	1p34.1	0.66	0.67	0.09	0.08	-0.01	0.415	0.593	(B) WHITE
SLC33A1	3q25.31	0.41	0.44	0.22	0.24	-0.02	0.415	0.593	(B) WHITE
ARHGAP44	17p12	0.08	0.09	0.10	0.11	-0.01	0.415	0.593	(B) WHITE
DDX19B	16q22.1	0.06	0.07	0.03	0.04	-0.00	0.415	0.593	(B) WHITE
MLLT3	9p21.3	0.50	0.48	0.18	0.19	0.02	0.416	0.593	(A) BLACK OR AFRICAN AMERICAN
HYLS1	11q24.2	0.01	0.01	0.00	0.00	0.00	0.416	0.593	(A) BLACK OR AFRICAN AMERICAN
ENTPD1	10q24.1	0.69	0.71	0.19	0.18	-0.02	0.416	0.593	(B) WHITE
RNFT2	12q24.22	0.37	0.35	0.12	0.11	0.01	0.416	0.593	(A) BLACK OR AFRICAN AMERICAN
COL4A2	13q34	0.96	0.96	0.04	0.02	-0.00	0.416	0.593	(B) WHITE
KIF1C	17p13.2	0.93	0.93	0.03	0.05	-0.00	0.416	0.593	(B) WHITE
NCAM1	11q23.2	0.10	0.12	0.16	0.18	-0.02	0.416	0.594	(B) WHITE
RERGL	12p12.3	0.76	0.74	0.17	0.19	0.02	0.416	0.594	(A) BLACK OR AFRICAN AMERICAN
SUMF2	7p11.2	0.03	0.03	0.01	0.02	0.00	0.416	0.594	(A) BLACK OR AFRICAN AMERICAN
MAP2K5	15q23	0.03	0.03	0.01	0.01	0.00	0.416	0.594	(A) BLACK OR AFRICAN AMERICAN
GPR176	15q14-q15.1	0.43	0.41	0.20	0.20	0.02	0.417	0.594	(A) BLACK OR AFRICAN AMERICAN
ZNF668	16p11.2	0.07	0.08	0.04	0.05	-0.00	0.417	0.594	(B) WHITE
CD1A	1q23.1	0.51	0.49	0.23	0.19	0.02	0.417	0.594	(A) BLACK OR AFRICAN AMERICAN
H3F3B	17q25.1	0.03	0.03	0.01	0.01	-0.00	0.417	0.594	(B) WHITE
PACSIN2	22q13.2	0.49	0.50	0.18	0.15	-0.02	0.417	0.594	(B) WHITE
SOX8	16p13.3	0.27	0.29	0.20	0.21	-0.02	0.417	0.594	(B) WHITE
ETV1	7p21.2	0.81	0.83	0.16	0.14	-0.02	0.417	0.594	(B) WHITE
VIPR2	7q36.3	0.41	0.38	0.31	0.28	0.03	0.417	0.594	(A) BLACK OR AFRICAN AMERICAN
TPI1	12p13.31	0.10	0.10	0.04	0.05	0.00	0.417	0.594	(A) BLACK OR AFRICAN AMERICAN
UBE2Q1	1q21.3	0.01	0.01	0.00	0.01	-0.00	0.417	0.594	(B) WHITE
ZNF658	9q21.11	0.03	0.03	0.03	0.05	-0.00	0.417	0.595	(B) WHITE
TSR1	17p13.3	0.02	0.02	0.00	0.01	-0.00	0.417	0.595	(B) WHITE
RFTN1	3p24.3	0.54	0.56	0.19	0.17	-0.02	0.417	0.595	(B) WHITE
DBF4	7q21.12	0.20	0.21	0.09	0.10	-0.01	0.417	0.595	(B) WHITE
PAK2	3q29	0.07	0.06	0.07	0.06	0.01	0.417	0.595	(A) BLACK OR AFRICAN AMERICAN
TPPP3	16q22.1	0.40	0.38	0.13	0.14	0.01	0.418	0.595	(A) BLACK OR AFRICAN AMERICAN
HELZ2	20q13.33	0.66	0.67	0.11	0.11	-0.01	0.418	0.595	(B) WHITE
PDE8A	15q25.3	0.47	0.49	0.20	0.21	-0.02	0.418	0.595	(B) WHITE
CMPK1	1p33	0.03	0.03	0.01	0.01	-0.00	0.418	0.595	(B) WHITE
MASP2	1p36.22	0.84	0.83	0.09	0.09	0.01	0.418	0.595	(A) BLACK OR AFRICAN AMERICAN
NAMPT	7q22.3	0.67	0.69	0.17	0.14	-0.02	0.418	0.595	(B) WHITE
IKZF2	2q34	0.09	0.08	0.08	0.05	0.01	0.418	0.595	(A) BLACK OR AFRICAN AMERICAN
PLA2G15	16q22.1	0.81	0.81	0.05	0.06	0.01	0.418	0.595	(A) BLACK OR AFRICAN AMERICAN
TAX1BP3	17p13.2	0.73	0.74	0.07	0.07	-0.01	0.418	0.595	(B) WHITE
TMEM70	8q21.11	0.01	0.01	0.00	0.00	0.00	0.419	0.596	(A) BLACK OR AFRICAN AMERICAN
EFCAB14	1p33	0.22	0.21	0.12	0.10	0.01	0.419	0.596	(A) BLACK OR AFRICAN AMERICAN
BICRAL	6p21.1	0.78	0.80	0.13	0.12	-0.01	0.419	0.596	(B) WHITE
MMRN2	10q23.2	0.67	0.68	0.12	0.11	-0.01	0.419	0.597	(B) WHITE
PFKFB3	10p15.1	0.80	0.79	0.08	0.09	0.01	0.420	0.597	(A) BLACK OR AFRICAN AMERICAN
TPCN1	12q24.13	0.32	0.31	0.10	0.11	0.01	0.420	0.597	(A) BLACK OR AFRICAN AMERICAN
EFNA3	1q21.3	0.14	0.13	0.10	0.09	0.01	0.420	0.597	(A) BLACK OR AFRICAN AMERICAN
STK31	7p15.3	0.91	0.92	0.10	0.09	-0.01	0.421	0.598	(B) WHITE
ZNF641	12q13.11	0.02	0.02	0.01	0.01	-0.00	0.421	0.598	(B) WHITE
IQCK	16p12.3	0.44	0.43	0.15	0.15	0.02	0.421	0.598	(A) BLACK OR AFRICAN AMERICAN
RHEX	1q32.1	0.91	0.92	0.10	0.07	-0.01	0.421	0.598	(B) WHITE
GP2	16p12.3	0.56	0.54	0.23	0.23	0.02	0.421	0.598	(A) BLACK OR AFRICAN AMERICAN
CCDC169	13q13.3	0.14	0.12	0.18	0.15	0.02	0.421	0.598	(A) BLACK OR AFRICAN AMERICAN
PABPC1L	20q13.12	0.09	0.08	0.14	0.09	0.01	0.421	0.598	(A) BLACK OR AFRICAN AMERICAN
ERP44	9q31.1	0.08	0.07	0.03	0.03	0.00	0.421	0.598	(A) BLACK OR AFRICAN AMERICAN
CXCL9	4q21.1	0.83	0.81	0.15	0.13	0.02	0.421	0.599	(A) BLACK OR AFRICAN AMERICAN
TGFB1I1	16p11.2	0.67	0.66	0.08	0.09	0.01	0.421	0.599	(A) BLACK OR AFRICAN AMERICAN
RASGRP4	19q13.2	0.33	0.31	0.17	0.20	0.02	0.421	0.599	(A) BLACK OR AFRICAN AMERICAN
RCN1	11p13	0.16	0.17	0.08	0.10	-0.01	0.421	0.599	(B) WHITE
KLF11	2p25.1	0.44	0.47	0.24	0.22	-0.02	0.421	0.599	(B) WHITE
ATP6V1D	14q23.3	0.10	0.10	0.06	0.06	0.01	0.421	0.599	(A) BLACK OR AFRICAN AMERICAN
KAT8	16p11.2	0.39	0.37	0.15	0.15	0.02	0.421	0.599	(A) BLACK OR AFRICAN AMERICAN
SNAPC1	14q23.2	0.05	0.04	0.03	0.03	0.00	0.422	0.599	(A) BLACK OR AFRICAN AMERICAN
WNT5A	3p14.3	0.06	0.04	0.12	0.09	0.01	0.422	0.599	(A) BLACK OR AFRICAN AMERICAN
POLR3H	22q13.2	0.03	0.03	0.00	0.00	-0.00	0.422	0.599	(B) WHITE
TAX1BP1	7p15.2	0.86	0.87	0.12	0.07	-0.01	0.422	0.599	(B) WHITE
RALGPS1	9q33.3	0.60	0.58	0.18	0.18	0.02	0.422	0.600	(A) BLACK OR AFRICAN AMERICAN
MT3	16q13	0.45	0.47	0.14	0.15	-0.01	0.422	0.600	(B) WHITE
ARPC5L	9q33.3	0.02	0.02	0.00	0.00	-0.00	0.422	0.600	(B) WHITE
FITM2	20q13.12	0.01	0.01	0.00	0.00	-0.00	0.423	0.600	(B) WHITE
NFE2L2	2q31.2	0.02	0.02	0.00	0.00	0.00	0.423	0.600	(A) BLACK OR AFRICAN AMERICAN
ZNF830	17q12	0.04	0.04	0.01	0.03	0.00	0.423	0.600	(A) BLACK OR AFRICAN AMERICAN
SAA4	11p15.1	0.72	0.73	0.13	0.11	-0.01	0.423	0.600	(B) WHITE
IGLON5	19q13.41	0.30	0.28	0.26	0.24	0.03	0.423	0.600	(A) BLACK OR AFRICAN AMERICAN
OR51E2	11p15.4	0.51	0.49	0.21	0.21	0.02	0.423	0.600	(A) BLACK OR AFRICAN AMERICAN
PCDHB2	5q31.3	0.39	0.41	0.20	0.18	-0.02	0.424	0.601	(B) WHITE
MCRIP1	17q25.3	0.15	0.13	0.14	0.13	0.01	0.424	0.601	(A) BLACK OR AFRICAN AMERICAN
CYB5B	16q22.1	0.05	0.05	0.02	0.02	-0.00	0.424	0.601	(B) WHITE
RAD21	8q24.11	0.02	0.02	0.00	0.01	0.00	0.424	0.601	(A) BLACK OR AFRICAN AMERICAN
WASF2	1p36.11	0.02	0.02	0.00	0.02	-0.00	0.424	0.601	(B) WHITE
ACTA1	1q42.13	0.18	0.19	0.09	0.10	-0.01	0.424	0.601	(B) WHITE
OTOR	20p12.1	0.84	0.86	0.11	0.09	-0.01	0.424	0.601	(B) WHITE
PRKRA	2q31.2	0.13	0.12	0.07	0.06	0.01	0.424	0.601	(A) BLACK OR AFRICAN AMERICAN
ZNF398	7q36.1	0.01	0.01	0.00	0.00	-0.00	0.424	0.601	(B) WHITE
AP3M2	8p11.21	0.04	0.03	0.10	0.07	0.01	0.424	0.601	(A) BLACK OR AFRICAN AMERICAN
MDH1	2p15	0.02	0.02	0.00	0.00	0.00	0.424	0.601	(A) BLACK OR AFRICAN AMERICAN
CEP85	1p36.11	0.12	0.12	0.04	0.04	-0.00	0.425	0.602	(B) WHITE
TVP23B	17p11.2	0.05	0.05	0.03	0.04	-0.00	0.425	0.602	(B) WHITE
DPT	1q24.2	0.86	0.87	0.10	0.08	-0.01	0.425	0.602	(B) WHITE
C2	6p21.33	0.64	0.62	0.16	0.16	0.02	0.425	0.602	(A) BLACK OR AFRICAN AMERICAN
KDELR1	19q13.33	0.02	0.02	0.02	0.01	0.00	0.425	0.602	(A) BLACK OR AFRICAN AMERICAN
PRSS22	16p13.3	0.16	0.16	0.07	0.06	0.01	0.425	0.602	(A) BLACK OR AFRICAN AMERICAN
WASF3	13q12.13	0.11	0.13	0.18	0.20	-0.02	0.425	0.603	(B) WHITE
EIF2B2	14q24.3	0.02	0.02	0.00	0.00	0.00	0.426	0.603	(A) BLACK OR AFRICAN AMERICAN
PYCR1	17q25.3	0.31	0.32	0.12	0.11	-0.01	0.426	0.603	(B) WHITE
FCER1G	1q23.3	0.90	0.91	0.05	0.05	-0.00	0.426	0.603	(B) WHITE
UBE2I	16p13.3	0.04	0.03	0.06	0.05	0.01	0.426	0.603	(A) BLACK OR AFRICAN AMERICAN
PAK6	15q15.1	0.48	0.50	0.25	0.26	-0.03	0.426	0.603	(B) WHITE
DUSP8	11p15.5	0.09	0.08	0.12	0.09	0.01	0.426	0.603	(A) BLACK OR AFRICAN AMERICAN
FASTKD2	2q33.3	0.02	0.02	0.01	0.02	-0.00	0.427	0.604	(B) WHITE
MLLT1	19p13.3	0.85	0.85	0.03	0.04	-0.00	0.427	0.604	(B) WHITE
LMF2	22q13.33	0.03	0.03	0.01	0.01	-0.00	0.427	0.604	(B) WHITE
NCDN	1p34.3	0.61	0.60	0.11	0.11	0.01	0.427	0.604	(A) BLACK OR AFRICAN AMERICAN
SOWAHB	4q21.1	0.66	0.67	0.14	0.12	-0.01	0.427	0.604	(B) WHITE
NT5E	6q14.3	0.42	0.45	0.30	0.27	-0.03	0.427	0.604	(B) WHITE
ACSF2	17q21.33	0.21	0.22	0.10	0.12	-0.01	0.427	0.604	(B) WHITE
TTC23L	5p13.2	0.17	0.16	0.12	0.09	0.01	0.427	0.604	(A) BLACK OR AFRICAN AMERICAN
ATPAF1	1p33	0.29	0.28	0.14	0.13	0.01	0.428	0.605	(A) BLACK OR AFRICAN AMERICAN
AKAP3	12p13.32	0.90	0.91	0.12	0.08	-0.01	0.428	0.605	(B) WHITE
ZNF317	19p13.2	0.05	0.05	0.02	0.04	0.00	0.428	0.605	(A) BLACK OR AFRICAN AMERICAN
DSCAM	21q22.2	0.41	0.43	0.22	0.21	-0.02	0.428	0.605	(B) WHITE
NCBP2	3q29	0.02	0.02	0.00	0.01	-0.00	0.428	0.605	(B) WHITE
HOXC6	12q13.13	0.45	0.43	0.21	0.22	0.02	0.428	0.605	(A) BLACK OR AFRICAN AMERICAN
COBL	7p12.1	0.46	0.48	0.19	0.19	-0.02	0.428	0.605	(B) WHITE
SAMD14	17q21.33	0.88	0.89	0.07	0.07	-0.01	0.428	0.605	(B) WHITE
APC	5q22.2	0.70	0.68	0.19	0.17	0.02	0.428	0.605	(A) BLACK OR AFRICAN AMERICAN
RASD1	17p11.2	0.57	0.55	0.18	0.19	0.02	0.428	0.605	(A) BLACK OR AFRICAN AMERICAN
HIST1H2AD	6p22.2	0.09	0.10	0.12	0.13	-0.01	0.428	0.605	(B) WHITE
MT1L	16q13	0.25	0.27	0.20	0.20	-0.02	0.428	0.605	(B) WHITE
AMOTL2	3q22.2	0.74	0.75	0.11	0.13	-0.01	0.428	0.605	(B) WHITE
ACSL3	2q36.1	0.65	0.66	0.14	0.12	-0.01	0.428	0.605	(B) WHITE
KCNK13	14q32.11	0.17	0.15	0.21	0.18	0.02	0.429	0.605	(A) BLACK OR AFRICAN AMERICAN
IMMP1L	11p13	0.03	0.02	0.01	0.01	0.00	0.429	0.605	(A) BLACK OR AFRICAN AMERICAN
GPATCH4	1q22-q23.1	0.01	0.01	0.00	0.00	0.00	0.429	0.605	(A) BLACK OR AFRICAN AMERICAN
ANO6	12q12	0.03	0.03	0.06	0.08	-0.01	0.429	0.605	(B) WHITE
CEP57L1	6q21	0.39	0.38	0.07	0.08	0.01	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
SLC30A3	2p23.3	0.18	0.17	0.13	0.09	0.01	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
CSRNP2	12q13.12	0.51	0.52	0.17	0.16	-0.02	0.429	0.606	(B) WHITE
HECTD2	10q23.32	0.32	0.33	0.14	0.15	-0.01	0.429	0.606	(B) WHITE
RNF43	17q22	0.46	0.44	0.24	0.21	0.02	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
SLC35F5	2q14.1	0.03	0.03	0.01	0.01	0.00	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
CLPX	15q22.31	0.04	0.03	0.01	0.01	0.00	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
HERC1	15q22.31	0.03	0.03	0.01	0.02	0.00	0.429	0.606	(A) BLACK OR AFRICAN AMERICAN
PCYOX1L	5q32	0.02	0.02	0.00	0.00	-0.00	0.429	0.606	(B) WHITE
MAN2B1	19p13.13	0.94	0.94	0.02	0.03	-0.00	0.430	0.606	(B) WHITE
CRTAC1	10q24.2	0.31	0.29	0.19	0.21	0.02	0.430	0.606	(A) BLACK OR AFRICAN AMERICAN
COPS9	2q37.3	0.91	0.92	0.02	0.05	-0.00	0.430	0.607	(B) WHITE
SLC22A17	14q11.2	0.12	0.12	0.06	0.07	-0.01	0.430	0.607	(B) WHITE
VPS39	15q15.1	0.04	0.03	0.06	0.04	0.01	0.430	0.607	(A) BLACK OR AFRICAN AMERICAN
PGAP3	17q12	0.48	0.46	0.22	0.18	0.02	0.430	0.607	(A) BLACK OR AFRICAN AMERICAN
EXOG	3p22.2	0.03	0.03	0.04	0.02	0.00	0.431	0.607	(A) BLACK OR AFRICAN AMERICAN
ANP32E	1q21.2	0.06	0.05	0.15	0.10	0.01	0.431	0.607	(A) BLACK OR AFRICAN AMERICAN
TUG1	22q12.2	0.02	0.02	0.00	0.00	0.00	0.431	0.607	(A) BLACK OR AFRICAN AMERICAN
SPRY2	13q31.1	0.73	0.75	0.21	0.15	-0.02	0.431	0.607	(B) WHITE
TMEM234	1p35.2	0.02	0.02	0.00	0.01	-0.00	0.431	0.608	(B) WHITE
ZDBF2	2q33.3	0.45	0.47	0.26	0.23	-0.03	0.431	0.608	(B) WHITE
ENOSF1	18p11.32	0.07	0.07	0.03	0.05	-0.00	0.431	0.608	(B) WHITE
NAPG	18p11.22	0.07	0.07	0.03	0.04	-0.00	0.431	0.608	(B) WHITE
PTGER1	19p13.12	0.21	0.23	0.19	0.20	-0.02	0.431	0.608	(B) WHITE
MRPL54	19p13.3	0.03	0.03	0.01	0.01	-0.00	0.432	0.608	(B) WHITE
CHDH	3p21.1	0.74	0.76	0.21	0.20	-0.02	0.432	0.608	(B) WHITE
RAB27B	18q21.2	0.04	0.04	0.01	0.02	0.00	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
ANKEF1	20p12.2	0.02	0.02	0.01	0.04	-0.00	0.432	0.608	(B) WHITE
CORT	1p36.22	0.94	0.93	0.03	0.04	0.00	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
PDGFC	4q32.1	0.74	0.72	0.15	0.16	0.02	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
LRP3	19q13.11	0.87	0.87	0.03	0.04	-0.00	0.432	0.608	(B) WHITE
IFT22	7q22.1	0.11	0.10	0.09	0.09	0.01	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
CENPQ	6p12.3	0.02	0.02	0.00	0.00	0.00	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
TFB2M	1q44	0.32	0.30	0.14	0.15	0.01	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
KIAA0895	7p14.2	0.02	0.02	0.00	0.01	0.00	0.432	0.608	(A) BLACK OR AFRICAN AMERICAN
ADORA3	1p13.2	0.84	0.84	0.06	0.07	-0.01	0.432	0.608	(B) WHITE
CGREF1	2p23.3	0.31	0.33	0.18	0.20	-0.02	0.432	0.608	(B) WHITE
HPSE2	10q24.2	0.59	0.61	0.19	0.18	-0.02	0.433	0.609	(B) WHITE
CIAO3	16p13.3	0.90	0.90	0.04	0.04	-0.00	0.433	0.609	(B) WHITE
WASHC2A	10q11.23	0.02	0.02	0.00	0.00	-0.00	0.433	0.609	(B) WHITE
GNA15	19p13.3	0.61	0.63	0.18	0.18	-0.02	0.433	0.609	(B) WHITE
ATP2C1	3q22.1	0.01	0.01	0.00	0.00	0.00	0.433	0.609	(A) BLACK OR AFRICAN AMERICAN
RGPD3	2q12.2	0.78	0.77	0.08	0.09	0.01	0.433	0.609	(A) BLACK OR AFRICAN AMERICAN
TXNRD2	22q11.21	0.18	0.17	0.08	0.08	0.01	0.433	0.609	(A) BLACK OR AFRICAN AMERICAN
KDM2A	11q13.2	0.02	0.03	0.01	0.01	-0.00	0.433	0.609	(B) WHITE
KLK4	19q13.41	0.57	0.55	0.17	0.16	0.02	0.433	0.609	(A) BLACK OR AFRICAN AMERICAN
ENPP5	6p21.1	0.04	0.04	0.07	0.04	0.01	0.433	0.609	(A) BLACK OR AFRICAN AMERICAN
TMEM68	8q12.1	0.11	0.12	0.06	0.06	-0.01	0.434	0.610	(B) WHITE
KCNQ1	11p15.5-p15.4	0.12	0.10	0.19	0.16	0.02	0.434	0.610	(A) BLACK OR AFRICAN AMERICAN
MT1X	16q13	0.45	0.46	0.11	0.11	-0.01	0.434	0.610	(B) WHITE
NDUFAB1	16p12.2	0.87	0.87	0.06	0.06	0.01	0.434	0.610	(A) BLACK OR AFRICAN AMERICAN
AAAS	12q13.13	0.02	0.02	0.00	0.00	0.00	0.434	0.610	(A) BLACK OR AFRICAN AMERICAN
APOL1	22q12.3	0.42	0.40	0.22	0.21	0.02	0.434	0.610	(A) BLACK OR AFRICAN AMERICAN
TLR5	1q41	0.44	0.42	0.15	0.15	0.02	0.434	0.610	(A) BLACK OR AFRICAN AMERICAN
TRAM1	8q13.3	0.13	0.13	0.03	0.05	-0.00	0.434	0.610	(B) WHITE
CEACAM5	19q13.2	0.83	0.81	0.13	0.16	0.01	0.435	0.610	(A) BLACK OR AFRICAN AMERICAN
TSHZ2	20q13.2	0.67	0.69	0.24	0.20	-0.02	0.435	0.610	(B) WHITE
PKIG	20q13.12	0.12	0.13	0.08	0.09	-0.01	0.435	0.610	(B) WHITE
PLXDC1	17q12	0.68	0.67	0.12	0.12	0.01	0.435	0.610	(A) BLACK OR AFRICAN AMERICAN
TRPM7	15q21.2	0.04	0.04	0.01	0.01	0.00	0.435	0.610	(A) BLACK OR AFRICAN AMERICAN
RBAK	7p22.1	0.02	0.02	0.00	0.01	0.00	0.435	0.610	(A) BLACK OR AFRICAN AMERICAN
ZMAT5	22q12.2	0.03	0.03	0.01	0.01	-0.00	0.435	0.611	(B) WHITE
HLA-DRB5	6p21.32	0.62	0.60	0.18	0.15	0.02	0.435	0.611	(A) BLACK OR AFRICAN AMERICAN
PTTG2	4p14	0.93	0.93	0.07	0.03	-0.01	0.435	0.611	(B) WHITE
LYPD3	19q13.31	0.32	0.31	0.12	0.10	0.01	0.435	0.611	(A) BLACK OR AFRICAN AMERICAN
NFYC	1p34.2	0.17	0.19	0.16	0.17	-0.02	0.435	0.611	(B) WHITE
DLEU7	13q14.3	0.88	0.88	0.06	0.08	0.01	0.435	0.611	(A) BLACK OR AFRICAN AMERICAN
CRTAM	11q24.1	0.77	0.76	0.20	0.20	0.02	0.436	0.611	(A) BLACK OR AFRICAN AMERICAN
GPN1	2p23.3	0.03	0.03	0.01	0.01	-0.00	0.436	0.611	(B) WHITE
SLC22A11	11q13.1	0.85	0.86	0.09	0.07	-0.01	0.436	0.611	(B) WHITE
GDPD1	17q22	0.18	0.17	0.09	0.08	0.01	0.436	0.611	(A) BLACK OR AFRICAN AMERICAN
SLC26A10	12q13.3	0.87	0.88	0.08	0.04	-0.01	0.436	0.611	(B) WHITE
TRPC4AP	20q11.22	0.87	0.87	0.03	0.03	-0.00	0.436	0.612	(B) WHITE
DEFB1	8p23.1	0.60	0.62	0.17	0.17	-0.02	0.436	0.612	(B) WHITE
JAKMIP3	10q26.3	0.38	0.36	0.16	0.16	0.02	0.436	0.612	(A) BLACK OR AFRICAN AMERICAN
CUL2	10p11.21	0.01	0.01	0.00	0.00	-0.00	0.436	0.612	(B) WHITE
DCAF4	14q24.2	0.63	0.64	0.14	0.13	-0.01	0.436	0.612	(B) WHITE
HHEX	10q23.33	0.32	0.30	0.22	0.21	0.02	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
FAM210B	20q13.2	0.12	0.11	0.03	0.03	0.00	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
PPIH	1p34.2	0.03	0.03	0.01	0.01	0.00	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
LOC374443	12p13.31	0.02	0.02	0.00	0.00	0.00	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
GABRA5	15q12	0.50	0.48	0.19	0.19	0.02	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
DENND2C	1p13.2	0.11	0.11	0.09	0.11	-0.01	0.437	0.612	(B) WHITE
AGA	4q34.3	0.54	0.56	0.20	0.19	-0.02	0.437	0.612	(B) WHITE
FAM204A	10q26.11	0.75	0.73	0.21	0.18	0.02	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
DPY19L4	8q22.1	0.02	0.02	0.01	0.00	0.00	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
PLAA	9p21.2	0.01	0.01	0.00	0.00	-0.00	0.437	0.612	(B) WHITE
HLA-DOA	6p21.32	0.43	0.45	0.18	0.16	-0.02	0.437	0.612	(B) WHITE
NUS1	6q22.1	0.03	0.03	0.01	0.04	-0.00	0.437	0.612	(B) WHITE
CAPS2	12q21.1-q21.2	0.06	0.06	0.03	0.03	0.00	0.437	0.612	(A) BLACK OR AFRICAN AMERICAN
FAF1	1p32.3	0.03	0.03	0.01	0.01	0.00	0.437	0.613	(A) BLACK OR AFRICAN AMERICAN
CLCN2	3q27.1	0.05	0.05	0.01	0.02	-0.00	0.438	0.613	(B) WHITE
TMEM184B	22q13.1	0.03	0.03	0.01	0.01	-0.00	0.438	0.613	(B) WHITE
GRAMD2B	5q23.2	0.62	0.64	0.25	0.22	-0.02	0.438	0.613	(B) WHITE
TTLL4	2q35	0.43	0.45	0.18	0.18	-0.02	0.438	0.613	(B) WHITE
RRS1	8q13.1	0.19	0.21	0.14	0.11	-0.01	0.438	0.613	(B) WHITE
WDR49	3q26.1	0.54	0.52	0.22	0.21	0.02	0.439	0.614	(A) BLACK OR AFRICAN AMERICAN
