Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
CDH2	18q12.1	0.08	-0.02	0.17	0.20	0.10	0.0467	0.182	(A) BLACK OR AFRICAN AMERICAN
BAX	19q13.33	0.17	-0.00	0.32	0.25	0.18	0.0523	0.200	(A) BLACK OR AFRICAN AMERICAN
SHC1_PY317	13q14.2	-0.10	0.03	0.24	0.26	-0.13	0.0591	0.222	(B) WHITE
CAV1	7q31.2	-0.62	-0.12	0.92	0.96	-0.50	0.0625	0.228	(B) WHITE
ANXA1	9q21.13	-0.17	0.05	0.40	0.40	-0.22	0.0629	0.228	(B) WHITE
STAT3_PY705	19q13.33	-0.14	0.16	0.56	0.64	-0.30	0.0673	0.239	(B) WHITE
BCL2L11	2q13	0.25	0.03	0.43	0.29	0.22	0.0702	0.245	(A) BLACK OR AFRICAN AMERICAN
MAPK8_PT183	3q13.3	-0.12	0.01	0.26	0.26	-0.13	0.0723	0.248	(B) WHITE
ARAF_PS299	12q24.11	0.11	0.01	0.19	0.19	0.10	0.0764	0.258	(A) BLACK OR AFRICAN AMERICAN
EGFR_PY1173	3p25	0.07	0.01	0.11	0.13	0.05	0.0811	0.269	(A) BLACK OR AFRICAN AMERICAN
PARK7	1p36.23	0.05	-0.04	0.17	0.20	0.09	0.0833	0.272	(A) BLACK OR AFRICAN AMERICAN
MYC	8q24.21	-0.14	0.01	0.29	0.35	-0.14	0.0859	0.276	(B) WHITE
LCK	1p35.2	-0.05	0.14	0.37	0.44	-0.18	0.0985	0.311	(B) WHITE
INPP4B	4q31.21	0.54	0.09	0.98	0.63	0.45	0.105	0.325	(A) BLACK OR AFRICAN AMERICAN
MS4A1	11q12.2	-0.01	0.06	0.15	0.17	-0.07	0.107	0.326	(B) WHITE
MAPK1	22q11.22	0.22	0.05	0.35	0.39	0.16	0.108	0.326	(A) BLACK OR AFRICAN AMERICAN
RAD51	15q15.1	0.11	0.02	0.19	0.16	0.09	0.110	0.326	(A) BLACK OR AFRICAN AMERICAN
BECN1	17q21.31	0.04	-0.02	0.12	0.13	0.06	0.116	0.334	(A) BLACK OR AFRICAN AMERICAN
ACACA	17q12	0.38	0.01	0.83	0.71	0.37	0.116	0.334	(A) BLACK OR AFRICAN AMERICAN
TIGAR	12p13.32	0.13	0.02	0.25	0.19	0.11	0.120	0.336	(A) BLACK OR AFRICAN AMERICAN
ITGA2	5q11.2	-0.05	0.02	0.17	0.19	-0.08	0.121	0.336	(B) WHITE
RPS6KA1	1p36.11	-0.12	-0.01	0.25	0.22	-0.11	0.124	0.336	(B) WHITE
EGFR	7p11.2	0.07	0.01	0.13	0.17	0.06	0.124	0.336	(A) BLACK OR AFRICAN AMERICAN
CHEK1_PS345	5p12	-0.03	0.02	0.12	0.10	-0.05	0.125	0.336	(B) WHITE
FOXO3_PS318_S321	5q21-q22	-0.07	0.03	0.23	0.19	-0.10	0.128	0.338	(B) WHITE
RICTOR_PT1135	2q31.1	-0.08	-0.00	0.17	0.20	-0.08	0.136	0.355	(B) WHITE
PDCD4	10q25.2	-0.27	0.06	0.81	0.68	-0.34	0.143	0.370	(B) WHITE
PEA15	1q23.2	0.16	0.00	0.41	0.33	0.16	0.157	0.401	(A) BLACK OR AFRICAN AMERICAN
RB1_PS807_S811	5q21-q22	-0.08	0.06	0.35	0.37	-0.14	0.160	0.403	(B) WHITE
CDK1	10q21.2	0.13	0.04	0.23	0.20	0.09	0.176	0.437	(A) BLACK OR AFRICAN AMERICAN
GSK3A	19q13.2	0.05	-0.03	0.22	0.19	0.08	0.181	0.440	(A) BLACK OR AFRICAN AMERICAN
GSK3B	3q13.33	0.05	-0.03	0.22	0.19	0.08	0.181	0.440	(A) BLACK OR AFRICAN AMERICAN
CCNE1	19q12	0.25	0.03	0.62	0.15	0.22	0.183	0.440	(A) BLACK OR AFRICAN AMERICAN
XRCC5	2q35	0.10	-0.02	0.32	0.38	0.12	0.192	0.454	(A) BLACK OR AFRICAN AMERICAN
FN1	2q35	-0.07	0.06	0.35	0.40	-0.13	0.195	0.454	(B) WHITE
EIF4E	4q23	0.05	-0.03	0.20	0.18	0.07	0.200	0.454	(A) BLACK OR AFRICAN AMERICAN
ANXA7	10q22.2	-0.03	0.02	0.14	0.18	-0.05	0.201	0.454	(B) WHITE
ERBB3_PY1289	19q13.2	0.05	0.02	0.08	0.08	0.03	0.203	0.454	(A) BLACK OR AFRICAN AMERICAN
NRG1	8p12	0.11	-0.01	0.32	0.17	0.11	0.205	0.454	(A) BLACK OR AFRICAN AMERICAN
SRSF1	17q22	0.07	-0.03	0.28	0.39	0.10	0.205	0.454	(A) BLACK OR AFRICAN AMERICAN
RAD50	5q31.1	0.15	0.01	0.41	0.28	0.14	0.207	0.454	(A) BLACK OR AFRICAN AMERICAN
PRKAA1	5p13.1	-0.06	0.01	0.18	0.19	-0.06	0.223	0.482	(B) WHITE
TGM2	20q11.23	-0.06	0.05	0.32	0.43	-0.11	0.230	0.482	(B) WHITE
PRKCA_PS657	4q24	-0.25	-0.03	0.66	0.60	-0.22	0.230	0.482	(B) WHITE
NF2	22q12.2	0.10	0.03	0.22	0.23	0.08	0.231	0.482	(A) BLACK OR AFRICAN AMERICAN
